subject,channel
S0004,LHippo2
S0004,LHippo3
S0004,LHippo4
S0004,LHippo5
S0004,LHippo6
S0004,LHippo7
S0004,LHippo8
S0004,LHippo9
S0004,LHippo10
S0004,RHippo5
S0004,RHippo6
S0004,RHippo7
S0004,RHippo8
S0004,RHippo10
S0004,RAntTm5
S0004,RAntTm6
S0004,RAntTm7
S0004,RAntTm8
S0004,RAntTm9
S0004,RAntTm10
S0004,RMdTm51
S0004,RMdTm52
S0004,RMdTm54
S0004,RMdTm56
S0004,RMdTm74
S0004,RMdTm75
S0004,RMdTm77
S0004,RInTm51
S0004,RInTm52
S0004,RInTm53
S0004,RInTm54
S0004,RSpTm51
S0004,RSpTm52
S0004,RSpTm53
S0004,RSpTm54
S0004,RSpTm55
S0004,RSpTm56
S0004,RSpTm73
S0004,RSpTm74
S0004,RSpTm76
S0004,RSpTm77
S0004,RInIns3
S0004,RInIns4
S0006,RAST1
S0006,RAST2
S0006,RAST3
S0006,RAST5
S0006,RAST6
S0006,RAST7
S0006,RAST8
S0006,RAST9
S0006,RAST10
S0006,RMST1
S0006,RMST2
S0006,RMST3
S0006,RMST4
S0006,RMST5
S0006,RMST6
S0006,RMST7
S0006,RMST8
S0006,RMST14
S0006,RPST1
S0006,RPST5
S0006,RPST6
S0006,RPST8
S0006,RPST9
S0006,RPST10
S0006,RPST12
S0006,RPPST1
S0006,RPPST2
S0006,RPPST3
S0006,RPPST6
S0006,RPPST7
S0006,RPPST16
S0006,RAIF3
S0006,RAIF4
S0006,RAIF5
S0006,RAIF6
S0006,RPI1
S0006,RPI2
S0006,RPI3
S0006,RPI4
S0006,RPI8
S0006,RPI9
S0006,RPI10
S0006,RPI11
S0006,RPI12
S0006,RPI13
S0006,RPI14
S0006,RPI15
S0006,RPI16
S0006,ROF1
S0006,ROF2
S0006,ROF3
S0006,ROF4
S0006,ROF5
S0006,ROF6
S0006,ROF7
S0006,ROF8
S0006,ROF9
S0006,ROF10
S0006,ROF11
S0006,ROF12
S0006,ROF13
S0006,ROF14
S0006,ROF15
S0006,ROF16
S0006,RAC1
S0006,RAC2
S0006,RAC3
S0006,RAC4
S0006,RAC5
S0006,RAC6
S0006,RAC7
S0006,RAC8
S0006,RAC9
S0006,RAC10
S0006,RAC12
S0007,AMF-AC1
S0007,AMF-AC2
S0007,AMF-AC3
S0007,AMF-AC4
S0007,AMF-AC5
S0007,AMF-AC6
S0007,AMF-AC7
S0007,AMF-AC10
S0007,AMF-AC11
S0007,AMF-AC12
S0007,AMF-AC13
S0007,MSF-MC1
S0007,MSF-MC2
S0007,MSF-MC3
S0007,MSF-MC5
S0007,MSF-MC9
S0007,MSF-MC10
S0007,AIF-OF1
S0007,AIF-OF2
S0007,AIF-OF3
S0007,AIF-OF4
S0007,AIF-OF5
S0007,AIF-OF6
S0007,AIF-OF7
S0007,AIF-OF8
S0007,AIF-OF9
S0007,AIF-OF10
S0007,AIF-OF11
S0007,AIF-OF12
S0007,ASF-AI1
S0007,ASF-AI2
S0007,ASF-AI3
S0007,ASF-AI4
S0007,ASF-AI9
S0007,ASF-AI14
S0007,PSF-PI13
S0007,PSF-PI14
S0007,PSF-PI15
S0007,MMF-PL3
S0007,MMF-PL4
S0007,MMF-PL5
S0007,MMF-PL6
S0007,MMF-PL7
S0007,MMF-PL8
S0007,MMF-PL9
S0007,MMF-PL10
S0007,AMF-AI7
S0007,LMF-PV1
S0007,LMF-PV2
S0007,LMF-PV3
S0007,LMF-PV4
S0007,LMF-PV5
S0007,LMF-PV6
S0007,LMF-PV7
S0007,LMF-PV8
S0007,LMF-PV9
S0007,LMF-PV10
S0010,LAC1
S0010,LAC2
S0010,LAC3
S0010,LAC4
S0010,LAC5
S0010,LAC6
S0010,LAC7
S0010,LAC8
S0010,LAC9
S0010,LAC10
S0010,LAH1
S0010,LAH2
S0010,LAH3
S0010,LAH4
S0010,LAH5
S0010,LAH6
S0010,LAH7
S0010,LAH8
S0010,LAH9
S0010,LAH10
S0010,LAH11
S0010,LAH12
S0010,LAH13
S0010,LAH14
S0010,RAC1
S0010,RAC2
S0010,RAC3
S0010,RAC4
S0010,RAC5
S0010,RAC6
S0010,RAC7
S0010,RAC8
S0010,RAC9
S0010,RAC10
