subject,channel
S0004,LHippo1
S0004,RHippo1
S0004,RHippo2
S0004,RHippo3
S0004,RHippo4
S0004,RAntTm1
S0004,RAntTm2
S0004,RAntTm3
S0004,RAntTm4
S0004,RMdTm53
S0004,RMdTm55
S0004,RMdTm57
S0004,RMdTm58
S0004,RMdTm71
S0004,RMdTm72
S0004,RMdTm73
S0004,RMdTm76
S0004,RMdTm78
S0004,RInTm55
S0004,RInTm56
S0004,RInTm57
S0004,RInTm58
S0004,RSpTm57
S0004,RSpTm58
S0004,RSpTm71
S0004,RSpTm72
S0004,RSpTm75
S0004,RInIns5
S0004,RInIns7
S0004,RInIns8
S0004,RSpIns1
S0004,RSpIns2
S0004,RSpIns3
S0004,RSpIns4
S0004,RSpIns5
S0004,RSpIns6
S0004,RSpIns7
S0004,RSpIns8
S0006,RAST11
S0006,RAST12
S0006,RMST9
S0006,RMST10
S0006,RMST11
S0006,RMST12
S0006,RMST13
S0006,RPST2
S0006,RPST3
S0006,RPST4
S0006,RPST7
S0006,RPST11
S0006,RPPST4
S0006,RPPST5
S0006,RPPST8
S0006,RPPST9
S0006,RPPST10
S0006,RPPST11
S0006,RPPST13
S0006,RPPST14
S0006,RPPST15
S0006,RAIF1
S0006,RAIF2
S0006,RAIF7
S0006,RAIF8
S0006,RPI5
S0006,RPI6
S0006,RPI7
S0006,RAC11
S0007,AMF-AC8
S0007,AMF-AC9
S0007,AMF-AC14
S0007,MSF-MC4
S0007,MSF-MC6
S0007,MSF-MC7
S0007,MSF-MC8
S0007,AIF-OF13
S0007,AIF-OF14
S0007,ASF-AI5
S0007,ASF-AI6
S0007,ASF-AI7
S0007,ASF-AI8
S0007,ASF-AI10
S0007,ASF-AI11
S0007,ASF-AI12
S0007,ASF-AI13
S0007,ASF-AI15
S0007,ASF-AI16
S0007,PSF-PI1
S0007,PSF-PI2
S0007,PSF-PI3
S0007,PSF-PI4
S0007,PSF-PI5
S0007,PSF-PI6
S0007,PSF-PI7
S0007,PSF-PI8
S0007,PSF-PI9
S0007,PSF-PI10
S0007,PSF-PI11
S0007,PSF-PI12
S0007,MMF-PL1
S0007,MMF-PL2
S0007,AMF-AI1
S0007,AMF-AI3
S0007,AMF-AI4
S0007,AMF-AI5
S0007,AMF-AI6
S0007,AMF-AI8
S0010,RAI3
S0010,RLOF7
S0010,RMOF16
S0010,RPI12
S0010,RTP5
S0010,RTP6
S0014,MTG-AH7
S0014,MTG-AH8
S0014,MTG-AH9
S0014,STG-HG1
S0014,STG-HG2
S0014,STG-HG3
S0014,STG-HG4
S0014,STG-HG5
S0014,STG-HG6
S0014,STG-HG7
S0014,MTG-PH5
S0014,MTG-PH6
S0014,AG-PI1
S0014,AG-PI2
S0014,AG-PI3
S0014,AG-PI4
S0014,AG-PI5
S0014,AG-PI6
S0014,AG-PI7
S0014,AG-PI8
S0014,AG-PI14
S0014,IMF-AI1
S0014,IMF-AI2
S0014,IMF-AI3
S0014,IMF-AI4
S0014,IMF-AI5
S0014,IMF-AI6
S0014,IMF-AI7
S0014,SMFMOF1
S0014,SMFMOF2
S0014,SMFMOF12
S0014,MAFLOF1
S0014,MAFLOF2
S0014,MAFLOF3
S0014,MAFLOF4
S0014,MAFLOF5
S0014,MAFLOF6
S0015,AMT-AMG1
S0015,AMT-AMG2
S0015,AMT-AMG3
S0015,AMT-AMG4
S0015,AMT-AMG5
S0015,AMT-AMG9
S0015,AMT-AMG10
S0015,AMT-AMG11
S0015,AMT-AMG12
S0015,MST-AHG12
S0015,MST-AHG13
S0015,MST-AHG14
S0015,PST-PHG6
S0015,PST-PHG7
S0015,PST-PHG9
S0015,PST-PHG10
S0015,PST-PHG11
S0015,PST-PHG12
S0015,PST-PHG13
S0015,PST-PHG14
S0015,MMF-LOF6
S0015,MMF-LOF8
S0015,MMF-LOF14
S0015,MSF-MOF15
S0015,MSF-MOF16
S0015,MMF-AC2
S0015,MMF-AC3
S0015,MMF-AC4
S0015,MMF-AC5
S0015,MMF-AC8
S0015,MMF-AC9
S0015,MMF-AC10
S0015,MMF-AC11
S0015,MMF-AC12
S0015,PMF-MC2
S0015,PMF-MC3
S0015,PMF-MC4
S0015,PMF-MC5
S0015,PMF-MC6
S0015,PMF-MC7
S0015,PMF-MC8
S0015,PMF-MC9
S0015,PMF-MC10
S0015,PMF-MC11
S0015,PMF-MC12
S0015,PMF-MC13
S0015,PMF-MC14
S0015,MIF-AI2
S0015,MIF-AI3
S0015,MIF-AI7
S0015,SP-PI1
S0015,SP-PI2
S0015,SP-PI3
S0015,SP-PI4
S0015,SP-PI5
S0015,SP-PI7
S0015,SP-PI8
S0015,SP-PI10
S0015,SP-PI11
S0015,SP-PI14
S0017,ASF-MOF10
S0017,ASF-MOF11
S0017,ASF-MOF12
S0017,AMF-LOF4
S0017,AMF-LOF5
S0017,AMF-LOF6
S0017,AMF-LOF7
S0017,AMF-LOF9
S0017,AMF-LOF10
S0017,AMF-LOF11
S0017,AMF-LOF12
S0017,MSF-AC1
S0017,MSF-AC2
S0017,MSF-AC3
S0017,MSF-AC4
S0017,MSF-AC6
S0017,MSF-AC8
S0017,MSF-AC9
S0017,MSF-AC10
S0017,AIF-AI1
S0017,AIF-AI2
S0017,AIF-AI3
S0017,AIF-AI4
S0017,AIF-AI5
S0017,AIF-AI6
S0017,AIF-AI8
S0017,AMT-AMG1
S0017,AMT-AMG2
S0017,AMT-AMG3
S0017,AMT-AMG4
S0017,AMT-AMG9
S0017,AMT-AMG10
S0017,MMT-AH2
S0017,MMT-AH3
S0017,MMT-AH4
S0017,MMT-AH5
S0017,MMT-AH6
S0017,MMT-AH7
S0017,MMT-AH8
S0017,MMT-AH9
S0017,MMT-AH10
S0017,MMT-AH11
S0017,MMT-AH12
S0017,PMT-PH1
S0017,PMT-PH2
S0017,PMT-PH3
S0017,PMT-PH4
S0017,PMT-PH5
S0017,PMT-PH6
S0017,PMT-PH7
S0017,PMT-PH8
S0017,PMT-PH9
S0017,PMT-PH10
S0017,PMT-PH11
S0017,PMT-PH12
S0017,PMT-PH13
S0017,OP-PV1
S0017,OP-PV10
S0017,AIO-IPV1
S0017,AIO-IPV2
S0017,AIO-IPV3
S0017,AIO-IPV4
S0017,AIO-IPV5
S0017,AIO-IPV6
S0017,AIO-IPV8
S0017,SPP-PC1
S0017,SPP-PC2
S0017,SPP-PC3
S0017,SPP-PC7
S0017,SPP-PC8
S0017,SPP-PC9
S0017,SPP-PC10
S0017,SPP-PC11
S0017,SPP-PC12
S0017,SPP-PC13
S0017,SPP-PC14
S0017,AIP-PI1
S0017,AIP-PI8
S0017,AIP-PI9
S0018,AMF-OF'1
S0018,AMF-OF'15
S0018,AMF-OF'16
S0018,AMF-AC'11
S0018,AMF-AC'12
S0018,AMF-AC'13
S0018,AMF-AC'14
S0018,AMF-AC'15
S0018,AMT-Amg'8
S0018,AMT-Amg'13
S0018,MMT-AH'8
S0018,MMT-AH'11
S0018,MMT-AH'12
S0018,PMT-PH'8
S0018,PMT-PH'11
S0018,MST-MI'7
S0018,MST-MI'8
S0018,MST-MI'9
S0018,PST-PI'1
S0018,PST-PI'2
S0018,PST-PI'3
S0018,PST-PI'4
S0018,PST-PI'5
S0018,PST-PI'6
S0018,ASP-PI'2
S0018,ASP-PI'3
S0018,ASP-PI'4
S0018,ASP-PI'6
S0018,ASP-PI'7
S0018,ASP-PI'8
S0018,POJ-PST'1
S0018,POJ-PST'2
S0018,POJ-PST'3
S0018,POJ-PST'4
S0018,POJ-PST'6
S0018,POJ-PST'11
S0018,PIF-AI2
S0018,PIF-AI3
S0018,PST-PI1
S0018,PST-PI2
S0018,PST-PI3
S0018,PST-PI4
S0018,PST-PI5
S0018,PST-PI6
S0018,PST-PI7
S0018,PST-PI8
S0019,LAH4
S0019,LAH5
S0019,LAH6
S0019,LAH7
S0019,LAH8
S0019,LAT2
S0019,LAT3
S0019,LAT4
S0019,LAT5
S0019,LES1
S0019,LES2
S0019,LES3
S0019,LES4
S0019,LES5
S0019,LES6
S0019,LES7
S0019,LES8
S0019,LG10
S0019,LG11
S0019,LG1
S0019,LG21
S0019,LG22
S0019,LG23
S0019,LG24
S0019,LG25
S0019,LG26
S0019,LG27
S0019,LG28
S0019,LG29
S0019,LG2
S0019,LG30
S0019,LG31
S0019,LG33
S0019,LG34
S0019,LG35
S0019,LG36
S0019,LG37
S0019,LG39
S0019,LG41
S0019,LG43
S0019,LG44
S0019,LG45
S0019,LG48
S0019,LG49
S0019,LG50
