subject,channel
S0004,RHippo1
S0004,RHippo2
S0004,RHippo3
S0004,RAntTm1
S0004,RAntTm2
S0004,RAntTm3
S0004,RAntTm4
S0004,RMdTm53
S0004,RMdTm55
S0004,RMdTm57
S0004,RMdTm58
S0004,RMdTm72
S0004,RMdTm78
S0004,RInTm55
S0004,RInTm56
S0004,RInTm57
S0004,RInTm58
S0004,RSpTm57
S0004,RSpTm58
S0004,RSpTm71
S0004,RInIns5
S0004,RInIns7
S0004,RInIns8
S0004,RSpIns1
S0004,RSpIns2
S0004,RSpIns3
S0004,RSpIns4
S0004,RSpIns5
S0004,RSpIns6
S0004,RSpIns7
S0004,RSpIns8
S0006,RMST9
S0006,RMST10
S0006,RMST11
S0006,RMST12
S0006,RPST7
S0006,RPST11
S0006,RPPST5
S0006,RPPST8
S0006,RPPST9
S0006,RPPST10
S0006,RPPST11
S0006,RPPST13
S0006,RPPST14
S0006,RPPST15
S0006,RAIF1
S0006,RAIF2
S0006,RPI5
S0006,RPI6
S0006,RPI7
S0007,AMF-AC14
S0007,AIF-OF13
S0007,AIF-OF14
S0007,PSF-PI2
S0007,PSF-PI3
S0007,PSF-PI4
S0007,PSF-PI5
S0007,PSF-PI6
S0007,PSF-PI7
S0007,PSF-PI8
S0007,PSF-PI9
S0007,PSF-PI10
S0007,PSF-PI11
S0007,AMF-AI3
S0007,AMF-AI4
S0007,AMF-AI5
S0007,AMF-AI6
S0014,MTG-AH9
S0014,STG-HG1
S0014,STG-HG2
S0014,STG-HG3
S0014,STG-HG4
S0014,STG-HG5
S0014,STG-HG6
S0014,STG-HG7
S0014,AG-PI1
S0014,AG-PI2
S0014,AG-PI3
S0014,AG-PI4
S0014,AG-PI5
S0014,AG-PI6
S0015,MST-AHG12
S0015,MST-AHG13
S0015,MST-AHG14
S0015,PST-PHG7
S0015,PST-PHG9
S0015,PST-PHG10
S0015,PST-PHG11
S0015,PST-PHG12
S0015,PST-PHG13
S0015,PST-PHG14
S0017,AMT-AMG10
S0017,MMT-AH11
S0017,PMT-PH5
S0017,PMT-PH7
S0017,PMT-PH8
S0017,PMT-PH9
S0017,PMT-PH10
S0017,PMT-PH11
S0017,PMT-PH12
S0017,PMT-PH13
S0017,AIO-IPV8
S0018,PST-PI'1
S0018,PST-PI'2
S0018,PST-PI'3
S0018,PST-PI'4
S0018,PST-PI'5
S0018,ASP-PI'6
S0018,POJ-PST'1
S0018,POJ-PST'2
S0018,POJ-PST'3
S0018,POJ-PST'4
S0018,PST-PI2
S0018,PST-PI3
S0018,PST-PI4
S0018,PST-PI5
S0018,PST-PI6
S0019,LES3
S0019,LES5
S0019,LG21
S0019,LG22
S0019,LG23
S0019,LG24
S0019,LG26
S0019,LG27
S0019,LG28
S0019,LG29
S0019,LG30
S0019,LG31
S0019,LG34
S0019,LG35
S0019,LG36
S0019,LG37
S0019,LG39
S0019,LG44
S0019,LG45
S0019,LG48
S0019,LG50
S0019,LG51
S0019,LG52
S0019,LG53
S0019,LG54
S0019,LG61
S0020,SMF-AC5
S0020,SMF-AC6
S0020,SMF-AC7
S0020,SMF-AC8
S0020,PIF-AI1
S0020,PIF-MI4
S0020,PIF-MI5
S0020,PIF-MI6
S0020,PIF-MI7
S0020,PIF-MI8
S0020,PIF-MI9
S0020,PIF-MI10
S0020,AIP-PI1
