subject,channel
S0006,RMST14
S0006,RPPST16
S0006,RPST12
S0007,AMF-AC7
S0007,MSF-MC9
S0007,MMF-PL9
S0010,LAH1
S0010,LAH2
S0010,LAH3
S0010,LAH4
S0010,LAH14
S0010,RTP10
S0015,AMT-AMG13
S0015,MMF-AC13
S0017,MMT-AH13
S0017,PMT-PH14
S0017,ASF-MOF15
S0018,ASP-PI'15
S0018,AMT-Amg'14
S0018,MST-MI'10
S0018,PIF-AI8
S0018,PMT-PH'12
S0018,POJ-PST'14
S0019,LAH2
S0019,LAH3
S0019,LAT6
S0019,LPH6
S0020,AIF-OF12
S0020,AIF-OF13
S0020,AIF-OF14
S0021,AP-PI10
S0021,PIF-MI'2
S0021,PIF-MI'4
S0021,PIF-MI'5
S0021,PIF-MI'6
S0021,PIF-MI'7
S0021,PIF-MI'8
S0021,PSF-PC'4
S0023,AMF-AC11
S0023,PSF-PSI8
S0023,PST-HG14
S0024,'AIF-OF1
S0024,'AMF-POF11
S0024,'AMF-POF12
S0024,'AMF-POF13
S0024,'ASF-AC4
S0024,'ASF-AC5
S0024,'ASF-AC6
S0024,'ASF-AC7
S0024,'ASF-AC8
S0024,'ASF-AC9
S0024,'ASF-AC10
S0024,'ASF-AC11
S0024,'MSF-AC1
S0024,'MSF-AC2
S0024,'MSF-AC3
S0024,'MSF-AC4
S0024,'MST-AMG11
S0024,'PMF-MC10
S0024,'PMF-MMI8
S0026,'AIT-AMG1
S0026,'PSF-MC11
S0026,'PSP-LG15
S0026,'PST-PH15
S0026,'AMF-AI7
TCH06,RSL6
TCH06,RSTS6
TCH06,RSMA4
TCH14,LPOT5
TCH14,LSMA1
TCH14,LSTG5
TCH14,ROT9
TCH14,EKG1
