subject,channel
S0004,LHippo4
S0004,LHippo5
S0004,LHippo6
S0004,LHippo7
S0004,LHippo8
S0004,LHippo9
S0004,LHippo10
S0004,RAnTm1
S0004,RAnTm2
S0004,RAnTm3
S0004,RAnTm4
S0004,RInTm57
S0004,RInTm58
S0006,RAC4
S0006,RAC5
S0006,RAC6
S0006,RAC7
S0006,RAC8
S0006,RAST7
S0006,RAST8
S0006,RAST9
S0006,RAST10
S0006,RMST1
S0006,RMST2
S0006,RMST3
S0006,RMST4
S0006,RMST5
S0006,RMST6
S0006,ROF6
S0006,ROF7
S0006,ROF8
S0006,ROF9
S0006,ROF10
S0006,ROF11
S0006,ROF12
S0006,ROF13
S0006,ROF14
S0006,RPI8
S0006,RPI9
S0006,RPI10
S0006,RPI11
S0006,RPI12
S0006,RPI13
S0006,RPI14
S0006,RPI15
S0006,RPI16
S0007,AIF-OF1
S0007,AIF-OF2
S0007,AIF-OF3
S0007,AIF-OF4
S0007,AIF-OF5
S0007,AIF-OF6
S0007,AIF-OF7
S0007,AIF-OF8
S0007,AIF-OF9
S0007,AIF-OF10
S0007,AIF-OF11
S0007,AIF-OF12
S0007,AMF-AC1
S0007,AMF-AC2
S0007,AMF-AC3
S0007,AMF-AC4
S0007,AMF-AC5
S0007,AMF-AC6
S0007,AMF-AC11
S0007,AMF-AC12
S0007,AMF-AC13
S0007,ASF-AI1
S0007,ASF-AI2
S0007,ASF-AI3
S0007,ASF-AI4
S0007,LMF-PV1
S0007,LMF-PV2
S0007,LMF-PV3
S0007,LMF-PV4
S0007,LMF-PV5
S0007,LMF-PV6
S0007,LMF-PV7
S0007,LMF-PV8
S0007,LMF-PV9
S0007,LMF-PV10
S0007,MSF-MC1
S0007,MSF-MC2
S0007,MSF-MC3
S0010,RPI5
S0010,RPI6
S0010,RPI7
S0010,RPI8
S0010,RPI9
S0010,RPI10
S0010,RPI11
S0010,RTP7
S0010,RTP8
S0010,RTP9
S0015,AMT-AMG6
S0015,AMT-AMG7
S0015,AMT-AMG8
S0017,AIP-IPV1
S0017,AIP-IPV2
S0017,AIP-IPV3
S0017,AIP-PI5
S0017,AIP-PI6
S0017,AIP-PI7
S0017,AMT-AMG5
S0017,AMT-AMG6
S0017,AMT-AMG7
S0017,AMT-AMG8
S0017,ASF-MOF1
S0017,ASF-MOF2
S0017,ASF-MOF3
S0017,ASF-MOF4
S0017,ASF-MOF5
S0017,OP-PV2
S0017,OP-PV3
S0017,OP-PV4
S0017,OP-PV5
S0017,OP-PV6
S0017,OP-PV7
S0018,AMF-AC'4
S0018,AMF-AC'5
S0018,AMF-AC'6
S0018,AMF-AC'7
S0018,AMF-AC'8
S0018,AMF-AC'9
S0018,AMF-AC'10
S0018,AMF-OF'3
S0018,AMF-OF'4
S0018,AMF-OF'5
S0018,AMF-OF'6
S0018,AMF-OF'7
S0018,AMF-OF'8
S0018,PMT-PH'1
S0018,PMT-PH'2
S0020,AIP-PI7
S0020,AIP-PI8
S0020,AIP-PI9
S0020,AIP-PI10
S0020,AIP-PI11
S0020,AIP-PI12
S0020,IMF-AC'7
S0020,IMF-AC'8
S0020,PIF-MI1
S0020,PIF-MI2
S0020,PIF-MI3
S0023,AIF-OF1
S0023,AIF-OF2
S0023,AIF-OF3
S0023,AIF-OF4
S0023,AMT-AMG1
S0023,AMT-AMG2
S0023,AMT-AMG3
S0023,AMT-AMG4
S0023,AMT-AMG5
TCH06,RSF7
TCH06,RSF8
TCH14,LAISG6
TCH14,LAISG7
TCH14,LANGT1
TCH14,LANGT2
TCH14,LANGT3
TCH14,LANGT4
TCH14,LANGT5
TCH14,LANGT6
TCH14,LANGT7
TCH14,LANGT12
TCH14,LANGT13
TCH14,LANGT14
TCH14,LCMN3
TCH14,LCMN4
TCH14,LCMN5
TCH14,LCMN6
TCH14,LCMN7
TCH14,LCMN8
TCH14,LCMN9
TCH14,LOT1
TCH14,LOT2
TCH14,LOT3
TCH14,LPILG10
TCH14,LPILG11
TCH14,LPILG12
TCH14,LUNC1
TCH14,LUNC2
TCH14,LUNC3
TCH14,LUNC4
TCH14,LUNC5
TCH14,LUNC6
TCH14,LUNC7
TCH14,LUNC8
TCH14,RANT1
TCH14,RANT2
TCH14,RANT3
TCH14,RANT4
TCH14,RANT5
TCH14,RANT6
