subject,model,channel,r_value,p_value,best_alpha
S0004,model1,LHippo1,0.22859285800166035,0.0,11288.378916846885
S0004,model1,LHippo2,0.01825630357814912,0.0,11288.378916846885
S0004,model1,LHippo3,0.06015456520016249,0.0,11288.378916846885
S0004,model1,LHippo4,0.05162551106299967,0.0,11288.378916846885
S0004,model1,LHippo5,0.12379297288586988,0.0,11288.378916846885
S0004,model1,LHippo6,0.09237913582595512,0.0,11288.378916846885
S0004,model1,LHippo7,0.07778161114304882,0.0,11288.378916846885
S0004,model1,LHippo8,0.09177731281495126,0.0,11288.378916846885
S0004,model1,LHippo9,0.16943366441667052,0.0,11288.378916846885
S0004,model1,LHippo10,0.2253082187165558,0.0,11288.378916846885
S0004,model1,RHippo1,0.15472813193565227,0.0,11288.378916846885
S0004,model1,RHippo2,0.19040376620355726,0.0,11288.378916846885
S0004,model1,RHippo3,0.1761344214515768,0.0,11288.378916846885
S0004,model1,RHippo4,0.12175517896941293,0.0,11288.378916846885
S0004,model1,RHippo5,0.07442751236828285,0.0,11288.378916846885
S0004,model1,RHippo6,-0.031575850895876625,1.0,11288.378916846885
S0004,model1,RHippo7,0.048248306767590746,0.0,11288.378916846885
S0004,model1,RHippo8,0.07000922084543681,0.0,11288.378916846885
S0004,model1,RHippo10,0.03463802565201303,0.0,11288.378916846885
S0004,model1,RAntTm1,0.25449340704198553,0.0,11288.378916846885
S0004,model1,RAntTm2,0.1923060605323207,0.0,11288.378916846885
S0004,model1,RAntTm3,0.2272723514865329,0.0,11288.378916846885
S0004,model1,RAntTm4,0.11990616111358665,0.0,11288.378916846885
S0004,model1,RAntTm5,0.09322087142884272,0.0,11288.378916846885
S0004,model1,RAntTm6,0.028820953312773488,0.0,11288.378916846885
S0004,model1,RAntTm7,0.06450212422963207,0.0,11288.378916846885
S0004,model1,RAntTm8,0.050896831800045984,0.0,11288.378916846885
S0004,model1,RAntTm9,0.02859771951787762,0.0,11288.378916846885
S0004,model1,RAntTm10,0.03855317667316532,0.0,11288.378916846885
S0004,model1,RMdTm51,-0.02455744541363636,1.0,11288.378916846885
S0004,model1,RMdTm52,0.028146383443432826,0.0,11288.378916846885
S0004,model1,RMdTm53,0.0960282831407774,0.0,11288.378916846885
S0004,model1,RMdTm54,-0.0054750280888880105,0.0,11288.378916846885
S0004,model1,RMdTm55,0.04525350693610168,0.0,11288.378916846885
