November 14, 2021 at 2:08:15 PM
ONSET PROD LOG FILE
S0017_B2
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	675791.288792125	Nancy has the best grades in the class.	Nancy has the best grades in the class.	0
1	1	listen	echolalia	675797.352127083	Nancy has the best grades in the class.	Nancy has the best grades in the class.	0
2	2	readRepeat	echolalia	675799.977524041	I took her word for it.	I took her word for it.	0
2	2	listen	echolalia	675804.2775235	I took her word for it.	I took her word for it.	0
3	3	readRepeat	echolalia	675809.214898083	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
3	3	listen	echolalia	675815.2524405	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
4	4	readRepeat	echolalia	675821.814868166	Robin likes the color yellow.	Robin likes the color yellow.	0
4	4	listen	echolalia	675827.023082125	Robin likes the color yellow.	Robin likes the color yellow.	0
5	5	readRepeat	echolalia	675832.7275705	Is she going with you?	Is she going with you?	0
5	5	listen	echolalia	675837.240081708	Is she going with you?	Is she going with you?	0
6	6	readRepeat	echolalia	675842.602367125	Which theatre shows "Mother Goose"?	Which theatre shows "Mother Goose"?	0
6	6	listen	echolalia	675848.648474666	Which theatre shows "Mother Goose"?	Which theatre shows "Mother Goose"?	0
7	7	readRepeat	echolalia	675855.164714208	Cut a small corner off each edge.	Cut a small corner off each edge.	0
7	7	listen	echolalia	675860.739977041	Cut a small corner off each edge.	Cut a small corner off each edge.	0
8	8	readRepeat	echolalia	675866.750627708	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
8	8	listen	echolalia	675871.764498208	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
9	9	readRepeat	echolalia	675877.200583041	Tom reads the same book every night.	Tom reads the same book every night.	0
9	9	listen	echolalia	675882.502979416	Tom reads the same book every night.	Tom reads the same book every night.	0
10	10	readRepeat	echolalia	675888.290409541	He ate four eggs for breakfast.	He ate four eggs for breakfast.	0
10	10	listen	echolalia	675894.515888833	He ate four eggs for breakfast.	He ate four eggs for breakfast.	0
11	11	readRepeat	echolalia	675901.202783708	They often go out in the evening.	They often go out in the evening.	0
11	11	listen	echolalia	675906.6653525	They often go out in the evening.	They often go out in the evening.	0
12	12	readRepeat	echolalia	675912.577588833	Spring Street is straight ahead.	Spring Street is straight ahead.	0
12	12	listen	echolalia	675918.1403955	Spring Street is straight ahead.	Spring Street is straight ahead.	0
13	13	readRepeat	echolalia	675924.198678375	Is this seesaw safe?	Is this seesaw safe?	0
13	13	listen	echolalia	675930.340455583	Is this seesaw safe?	Is this seesaw safe?	0
14	14	readRepeat	echolalia	675936.935932333	This was easy for us.	This was easy for us.	0
14	14	listen	echolalia	675941.416016875	This was easy for us.	This was easy for us.	0
15	15	readRepeat	echolalia	675946.30263275	I saw a purple crab on the beach.	I saw a purple crab on the beach.	0
15	15	listen	echolalia	675952.490641791	I saw a purple crab on the beach.	I saw a purple crab on the beach.	0
16	16	readRepeat	echolalia	675959.140561541	Don't do Charlie's dirty dishes.	Don't do Charlie's dirty dishes.	0
16	16	listen	echolalia	675965.640300083	Don't do Charlie's dirty dishes.	Don't do Charlie's dirty dishes.	0
17	17	readRepeat	echolalia	675972.603277916	Should giraffes be kept in small zoos?	Should giraffes be kept in small zoos?	0
17	17	listen	echolalia	675979.763826083	Should giraffes be kept in small zoos?	Should giraffes be kept in small zoos?	0
18	18	readRepeat	echolalia	675987.3909925	Even I get the Monday blues!	Even I get the Monday blues!	0
18	18	listen	echolalia	675992.690660958	Even I get the Monday blues!	Even I get the Monday blues!	0
19	19	readRepeat	echolalia	675998.553578125	They own a big house in Austin, Texas.	They own a big house in Austin, Texas.	0
19	19	listen	echolalia	676005.503323208	They own a big house in Austin, Texas.	They own a big house in Austin, Texas.	0
20	20	readRepeat	echolalia	676012.916172208	Blue cheese smells funny.	Blue cheese smells funny.	0
20	20	listen	echolalia	676017.991567125	Blue cheese smells funny.	Blue cheese smells funny.	0
21	21	readRepeat	echolalia	676023.601316208	The big dog loved to chew on the old rag doll.	The big dog loved to chew on the old rag doll.	0
21	21	listen	echolalia	676031.761424708	The big dog loved to chew on the old rag doll.	The big dog loved to chew on the old rag doll.	0
22	22	readRepeat	echolalia	676040.503663875	Guess the question from the answer.	Guess the question from the answer.	0
22	22	listen	echolalia	676045.716185666	Guess the question from the answer.	Guess the question from the answer.	0
23	23	readRepeat	echolalia	676051.36641975	Swing your arm as high as you can.	Swing your arm as high as you can.	0
23	23	listen	echolalia	676057.353642791	Swing your arm as high as you can.	Swing your arm as high as you can.	0
24	24	readRepeat	echolalia	676063.766456	Please sing just the club theme.	Please sing just the club theme.	0
24	24	listen	echolalia	676070.141595333	Please sing just the club theme.	Please sing just the club theme.	0
25	25	readRepeat	echolalia	676077.366479916	The angry boy didn't look up.	The angry boy didn't look up.	0
25	25	listen	echolalia	676082.604017791	The angry boy didn't look up.	The angry boy didn't look up.	0
0	0	break	break	676088.278715625	break	break	break
0	0	break	break	676110.428823333	break	break	break
1	26	readRepeat	shuffled	676110.428823333	Nancy has the best grades in the class.	Robin likes the color yellow.	0
1	26	listen	shuffled	676119.616546041	Nancy has the best grades in the class.	Robin likes the color yellow.	0
2	27	readRepeat	shuffled	676126.766889291	I took her word for it.	Should giraffes be kept in small zoos?	0
2	27	listen	shuffled	676132.654182375	I took her word for it.	Should giraffes be kept in small zoos?	0
3	28	readRepeat	shuffled	676144.841555791	Orange juice tastes funny after toothpaste.	How do you know my name?	0
3	28	listen	shuffled	676150.287267375	Orange juice tastes funny after toothpaste.	How do you know my name?	0
4	29	readRepeat	shuffled	676156.641771916	Robin likes the color yellow.	We welcome many new students each year.	0
4	29	listen	shuffled	676161.200794458	Robin likes the color yellow.	We welcome many new students each year.	0
5	30	readRepeat	shuffled	676167.716665541	Is she going with you?	Carl lives in a very small home.	0
5	30	listen	shuffled	676172.466234416	Is she going with you?	Carl lives in a very small home.	0
6	31	readRepeat	shuffled	676178.7164185	Which theatre shows "Mother Goose"?	They all like long hot showers.	0
6	31	listen	shuffled	676184.004587958	Which theatre shows "Mother Goose"?	They all like long hot showers.	0
7	32	readRepeat	shuffled	676189.354412333	Cut a small corner off each edge.	Even I get the Monday blues!	0
7	32	listen	shuffled	676194.742242291	Cut a small corner off each edge.	Even I get the Monday blues!	0
8	33	readRepeat	shuffled	676201.404478833	They all enjoy ice cream sundaes.	He ate four extra eggs for breakfast.	0
8	33	listen	shuffled	676206.354494125	They all enjoy ice cream sundaes.	He ate four extra eggs for breakfast.	0
9	34	readRepeat	shuffled	676211.91749675	Tom reads the same book every night.	Swing your arm as high as you can.	0
9	34	listen	shuffled	676217.754590208	Tom reads the same book every night.	Swing your arm as high as you can.	0
10	35	readRepeat	shuffled	676225.479596041	He ate four eggs for breakfast.	How much allowance do you get?	0
10	35	listen	shuffled	676230.68074525	He ate four eggs for breakfast.	How much allowance do you get?	0
11	36	readRepeat	shuffled	676241.958327375	They often go out in the evening.	Tom reads the same book every night.	0
11	36	listen	shuffled	676247.476249083	They often go out in the evening.	Tom reads the same book every night.	0
12	37	readRepeat	shuffled	676252.617288458	Spring Street is straight ahead.	Is she going with you?	0
12	37	listen	shuffled	676257.517374375	Spring Street is straight ahead.	Is she going with you?	0
13	38	readRepeat	shuffled	676263.329826916	Is this seesaw safe?	How do oysters make pearls?	0
13	38	listen	shuffled	676268.637595583	Is this seesaw safe?	How do oysters make pearls?	0
14	39	readRepeat	shuffled	676274.342271291	This was easy for us.	Cut a small corner off each edge.	0
14	39	listen	shuffled	676278.692214541	This was easy for us.	Cut a small corner off each edge.	0
15	40	readRepeat	shuffled	676284.201599875	I saw a purple crab on the beach.	They all enjoy ice cream sundaes.	0
15	40	listen	shuffled	676289.229792916	I saw a purple crab on the beach.	They all enjoy ice cream sundaes.	0
16	41	readRepeat	shuffled	676296.079814	Don't do Charlie's dirty dishes.	Birthday parties have cupcakes and ice cream.	0
16	41	listen	shuffled	676302.029812166	Don't do Charlie's dirty dishes.	Birthday parties have cupcakes and ice cream.	0
17	42	readRepeat	shuffled	676308.592430125	Should giraffes be kept in small zoos?	He ate four eggs for breakfast.	0
17	42	listen	shuffled	676315.030069125	Should giraffes be kept in small zoos?	He ate four eggs for breakfast.	0
18	43	readRepeat	shuffled	676321.930150041	Even I get the Monday blues!	Do all farmers grow potatoes?	0
18	43	listen	shuffled	676326.790274041	Even I get the Monday blues!	Do all farmers grow potatoes?	0
19	44	readRepeat	shuffled	676333.880163291	They own a big house in Austin, Texas.	Orange juice tastes funny after toothpaste.	0
19	44	listen	shuffled	676339.779893625	They own a big house in Austin, Texas.	Orange juice tastes funny after toothpaste.	0
20	45	readRepeat	shuffled	676347.080104666	Blue cheese smells funny.	My favorite ice cream flavor is vanilla.	0
20	45	listen	shuffled	676351.18039975	Blue cheese smells funny.	My favorite ice cream flavor is vanilla.	0
21	46	readRepeat	shuffled	676357.229922916	The big dog loved to chew on the old rag doll.	This was easy for us.	0
21	46	listen	shuffled	676365.990602041	The big dog loved to chew on the old rag doll.	This was easy for us.	0
22	47	readRepeat	shuffled	676374.917766291	Guess the question from the answer.	They often go out in the evening.	0
22	47	listen	shuffled	676380.279349833	Guess the question from the answer.	They often go out in the evening.	0
23	48	readRepeat	shuffled	676385.531168083	Swing your arm as high as you can.	He will allow a rare lie.	0
23	48	listen	shuffled	676390.630324333	Swing your arm as high as you can.	He will allow a rare lie.	0
24	49	readRepeat	shuffled	676395.26785375	Please sing just the club theme.	Add the numbers together one by one.	0
24	49	listen	shuffled	676400.605541958	Please sing just the club theme.	Add the numbers together one by one.	0
25	50	readRepeat	shuffled	676406.88056225	The angry boy didn't look up.	Jane helped her sister with homework.	0
25	50	listen	shuffled	676412.493155916	The angry boy didn't look up.	Jane helped her sister with homework.	0

