April 4, 2022 at 11:26:46 AM
ONSET PROD LOG FILE
S0018_B15
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	950265.081521625	Nancy has the best grades in the class.	Nancy has the best grades in the class.	0
1	1	listen	echolalia	950271.25627725	Nancy has the best grades in the class.	Nancy has the best grades in the class.	0
2	2	readRepeat	echolalia	950273.891120541	I took her word for it.	I took her word for it.	0
2	2	listen	echolalia	950279.216018416	I took her word for it.	I took her word for it.	0
3	3	readRepeat	echolalia	950322.891308791	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
3	3	listen	echolalia	950329.66586975	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
4	4	readRepeat	echolalia	950336.803866666	Robin likes the color yellow.	Robin likes the color yellow.	0
4	4	listen	echolalia	950342.503930791	Robin likes the color yellow.	Robin likes the color yellow.	0
5	5	readRepeat	echolalia	950349.179726666	Is she going with you?	Is she going with you?	0
5	5	listen	echolalia	950354.066849166	Is she going with you?	Is she going with you?	0
6	6	readRepeat	echolalia	950359.96675225	Which theatre shows "Mother Goose"?	Which theatre shows "Mother Goose"?	0
6	6	listen	echolalia	950366.441714625	Which theatre shows "Mother Goose"?	Which theatre shows "Mother Goose"?	0
7	7	readRepeat	echolalia	950373.127034416	Cut a small corner off each edge.	Cut a small corner off each edge.	0
7	7	listen	echolalia	950379.104193083	Cut a small corner off each edge.	Cut a small corner off each edge.	0
8	8	readRepeat	echolalia	950385.152334541	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
8	8	listen	echolalia	950391.004337666	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
9	9	readRepeat	echolalia	950397.152215833	Tom reads the same book every night.	Tom reads the same book every night.	0
9	9	listen	echolalia	950404.279273958	Tom reads the same book every night.	Tom reads the same book every night.	0
10	10	readRepeat	echolalia	950411.70443825	He ate four eggs for breakfast.	He ate four eggs for breakfast.	0
10	10	listen	echolalia	950417.191677708	He ate four eggs for breakfast.	He ate four eggs for breakfast.	0
11	11	readRepeat	echolalia	950422.991934	They often go out in the evening.	They often go out in the evening.	0
11	11	listen	echolalia	950429.25441025	They often go out in the evening.	They often go out in the evening.	0
12	12	readRepeat	echolalia	950435.854603958	Spring Street is straight ahead.	Spring Street is straight ahead.	0
12	12	listen	echolalia	950443.341976791	Spring Street is straight ahead.	Spring Street is straight ahead.	0
13	13	readRepeat	echolalia	950451.579423041	Is this seesaw safe?	Is this seesaw safe?	0
13	13	listen	echolalia	950457.104783	Is this seesaw safe?	Is this seesaw safe?	0
14	14	readRepeat	echolalia	950462.917320875	This was easy for us.	This was easy for us.	0
14	14	listen	echolalia	950467.777367541	This was easy for us.	This was easy for us.	0
15	15	readRepeat	echolalia	950473.017161333	I saw a purple crab on the beach.	I saw a purple crab on the beach.	0
15	15	listen	echolalia	950478.942309833	I saw a purple crab on the beach.	I saw a purple crab on the beach.	0
16	16	readRepeat	echolalia	950485.304734	Don't do Charlie's dirty dishes.	Don't do Charlie's dirty dishes.	0
16	16	listen	echolalia	950500.779673916	Don't do Charlie's dirty dishes.	Don't do Charlie's dirty dishes.	0
17	17	readRepeat	echolalia	950516.842285375	Should giraffes be kept in small zoos?	Should giraffes be kept in small zoos?	0
17	17	listen	echolalia	950523.979748541	Should giraffes be kept in small zoos?	Should giraffes be kept in small zoos?	0
18	18	readRepeat	echolalia	950531.517393708	Even I get the Monday blues!	Even I get the Monday blues!	0
18	18	listen	echolalia	950537.893011625	Even I get the Monday blues!	Even I get the Monday blues!	0
19	19	readRepeat	echolalia	950544.640224791	They own a big house in Austin, Texas.	They own a big house in Austin, Texas.	0
19	19	listen	echolalia	950552.080368208	They own a big house in Austin, Texas.	They own a big house in Austin, Texas.	0
20	20	readRepeat	echolalia	950560.042672958	Blue cheese smells funny.	Blue cheese smells funny.	0
20	20	listen	echolalia	950565.77497175	Blue cheese smells funny.	Blue cheese smells funny.	0
21	21	readRepeat	echolalia	950572.080276875	The big dog loved to chew on the old rag doll.	The big dog loved to chew on the old rag doll.	0
21	21	listen	echolalia	950579.705103291	The big dog loved to chew on the old rag doll.	The big dog loved to chew on the old rag doll.	0
22	22	readRepeat	echolalia	950587.688684	Guess the question from the answer.	Guess the question from the answer.	0
22	22	listen	echolalia	950593.667439083	Guess the question from the answer.	Guess the question from the answer.	0
23	23	readRepeat	echolalia	950600.065046083	Swing your arm as high as you can.	Swing your arm as high as you can.	0
23	23	listen	echolalia	950606.393073291	Swing your arm as high as you can.	Swing your arm as high as you can.	0
24	24	readRepeat	echolalia	950613.167043166	Please sing just the club theme.	Please sing just the club theme.	0
24	24	listen	echolalia	950621.430296625	Please sing just the club theme.	Please sing just the club theme.	0
25	25	readRepeat	echolalia	950630.488229958	The angry boy didn't look up.	The angry boy didn't look up.	0
25	25	listen	echolalia	950636.730290166	The angry boy didn't look up.	The angry boy didn't look up.	0
0	0	break	break	950643.630685708	break	break	break
1	26	readRepeat	shuffled	950643.630685708	Nancy has the best grades in the class.	Robin likes the color yellow.	0
