July 14, 2022 at 12:56:15 PM
ONSET PROD LOG FILE
S0021_B2
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	1727548.027052958	Nancy has the best grades in the class.	Nancy has the best grades in the class.	0
1	1	listen	echolalia	1727563.521146833	Nancy has the best grades in the class.	Nancy has the best grades in the class.	0
2	2	readRepeat	echolalia	1727565.703915875	I took her word for it.	I took her word for it.	0
2	2	listen	echolalia	1727570.416807583	I took her word for it.	I took her word for it.	0
3	3	readRepeat	echolalia	1727576.3646645	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
3	3	listen	echolalia	1727590.016908125	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
4	4	readRepeat	echolalia	1727604.291486875	Robin likes the color yellow.	Robin likes the color yellow.	0
4	4	listen	echolalia	1727610.591985875	Robin likes the color yellow.	Robin likes the color yellow.	0
5	5	readRepeat	echolalia	1727620.052563	Is she going with you?	Is she going with you?	0
5	5	listen	echolalia	1727625.229445958	Is she going with you?	Is she going with you?	0
6	6	readRepeat	echolalia	1727631.004534125	Which theatre shows "Mother Goose"?	Which theatre shows "Mother Goose"?	0
6	6	listen	echolalia	1727644.913921708	Which theatre shows "Mother Goose"?	Which theatre shows "Mother Goose"?	0
7	7	readRepeat	echolalia	1727659.32965925	Cut a small corner off each edge.	Cut a small corner off each edge.	0
7	7	listen	echolalia	1727665.417144791	Cut a small corner off each edge.	Cut a small corner off each edge.	0
8	8	readRepeat	echolalia	1727672.375480333	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
8	8	listen	echolalia	1727680.167261916	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
9	9	readRepeat	echolalia	1727688.817402333	Tom reads the same book every night.	Tom reads the same book every night.	0
9	9	listen	echolalia	1727694.904811833	Tom reads the same book every night.	Tom reads the same book every night.	0
10	10	readRepeat	echolalia	1727701.667425416	He ate four eggs for breakfast.	He ate four eggs for breakfast.	0
10	10	listen	echolalia	1727708.013962083	He ate four eggs for breakfast.	He ate four eggs for breakfast.	0
11	11	readRepeat	echolalia	1727715.537823708	They often go out in the evening.	They often go out in the evening.	0
11	11	listen	echolalia	1727721.517247166	They often go out in the evening.	They often go out in the evening.	0
