September 24, 2022 at 12:44:32 PM
ONSET PROD LOG FILE
S0023_B2
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	121111.771138416	Nancy has the best grades in the class.	Nancy has the best grades in the class.	0
1	1	listen	echolalia	121122.826630041	Nancy has the best grades in the class.	Nancy has the best grades in the class.	0
2	2	readRepeat	echolalia	121128.169703625	I took her word for it.	I took her word for it.	0
2	2	listen	echolalia	121134.226635041	I took her word for it.	I took her word for it.	0
3	3	readRepeat	echolalia	121142.712094416	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
3	3	listen	echolalia	121151.027414875	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
4	4	readRepeat	echolalia	121160.496104333	Robin likes the color yellow.	Robin likes the color yellow.	0
4	4	listen	echolalia	121166.198052166	Robin likes the color yellow.	Robin likes the color yellow.	0
5	5	readRepeat	echolalia	121172.348422708	Is she going with you?	Is she going with you?	0
5	5	listen	echolalia	121177.366564041	Is she going with you?	Is she going with you?	0
6	6	readRepeat	echolalia	121182.910004833	Which theatre shows "Mother Goose"?	Which theatre shows "Mother Goose"?	0
6	6	listen	echolalia	121188.601852416	Which theatre shows "Mother Goose"?	Which theatre shows "Mother Goose"?	0
7	7	readRepeat	echolalia	121195.010956458	Cut a small corner off each edge.	Cut a small corner off each edge.	0
7	7	listen	echolalia	121201.291941541	Cut a small corner off each edge.	Cut a small corner off each edge.	0
8	8	readRepeat	echolalia	121208.32795725	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
8	8	listen	echolalia	121214.893511625	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
9	9	readRepeat	echolalia	121222.026267708	Tom reads the same book every night.	Tom reads the same book every night.	0
9	9	listen	echolalia	121228.246660083	Tom reads the same book every night.	Tom reads the same book every night.	0
10	10	readRepeat	echolalia	121235.105033791	He ate four eggs for breakfast.	He ate four eggs for breakfast.	0
10	10	listen	echolalia	121241.435247125	He ate four eggs for breakfast.	He ate four eggs for breakfast.	0
11	11	readRepeat	echolalia	121248.445421083	They often go out in the evening.	They often go out in the evening.	0
11	11	listen	echolalia	121255.995623208	They often go out in the evening.	They often go out in the evening.	0
12	12	readRepeat	echolalia	121264.237769875	Spring Street is straight ahead.	Spring Street is straight ahead.	0
12	12	listen	echolalia	121271.545244083	Spring Street is straight ahead.	Spring Street is straight ahead.	0
13	13	readRepeat	echolalia	121279.546610291	Is this seesaw safe?	Is this seesaw safe?	0
13	13	listen	echolalia	121285.133767833	Is this seesaw safe?	Is this seesaw safe?	0
14	14	readRepeat	echolalia	121291.592711625	This was easy for us.	This was easy for us.	0
14	14	listen	echolalia	121296.715418958	This was easy for us.	This was easy for us.	0
15	15	readRepeat	echolalia	121302.557523833	I saw a purple crab on the beach.	I saw a purple crab on the beach.	0
15	15	listen	echolalia	121308.410642083	I saw a purple crab on the beach.	I saw a purple crab on the beach.	0
16	16	readRepeat	echolalia	121315.294114208	Don't do Charlie's dirty dishes.	Don't do Charlie's dirty dishes.	0
16	16	listen	echolalia	121321.511286541	Don't do Charlie's dirty dishes.	Don't do Charlie's dirty dishes.	0
17	17	readRepeat	echolalia	121328.177313333	Should giraffes be kept in small zoos?	Should giraffes be kept in small zoos?	0
17	17	listen	echolalia	121334.999676833	Should giraffes be kept in small zoos?	Should giraffes be kept in small zoos?	0
18	18	readRepeat	echolalia	121342.481709541	Even I get the Monday blues!	Even I get the Monday blues!	0
18	18	listen	echolalia	121348.792919458	Even I get the Monday blues!	Even I get the Monday blues!	0
19	19	readRepeat	echolalia	121355.879847291	They own a big house in Austin, Texas.	They own a big house in Austin, Texas.	0
19	19	listen	echolalia	121362.40564325	They own a big house in Austin, Texas.	They own a big house in Austin, Texas.	0
20	20	readRepeat	echolalia	121369.681194291	Blue cheese smells funny.	Blue cheese smells funny.	0
20	20	listen	echolalia	121375.832404958	Blue cheese smells funny.	Blue cheese smells funny.	0
21	21	readRepeat	echolalia	121383.287052041	The big dog loved to chew on the old rag doll.	The big dog loved to chew on the old rag doll.	0
21	21	listen	echolalia	121390.546423958	The big dog loved to chew on the old rag doll.	The big dog loved to chew on the old rag doll.	0
22	22	readRepeat	echolalia	121398.500602541	Guess the question from the answer.	Guess the question from the answer.	0
22	22	listen	echolalia	121405.098882625	Guess the question from the answer.	Guess the question from the answer.	0
23	23	readRepeat	echolalia	121412.346852208	Swing your arm as high as you can.	Swing your arm as high as you can.	0
23	23	listen	echolalia	121418.276650041	Swing your arm as high as you can.	Swing your arm as high as you can.	0
24	24	readRepeat	echolalia	121425.024779041	Please sing just the club theme.	Please sing just the club theme.	0
24	24	listen	echolalia	121432.217721875	Please sing just the club theme.	Please sing just the club theme.	0
25	25	readRepeat	echolalia	121440.24466175	The angry boy didn't look up.	The angry boy didn't look up.	0
25	25	listen	echolalia	121447.984189541	The angry boy didn't look up.	The angry boy didn't look up.	0
0	0	break	break	121456.387486458	break	break	break
