December 2, 2022 at 4:13:49 PM
ONSET PROD LOG FILE
14_B1
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	39810.801419875	Nancy has the best grades in the class.	Nancy has the best grades in the class.	0
1	1	listen	echolalia	39816.406520541	Nancy has the best grades in the class.	Nancy has the best grades in the class.	0
2	2	readRepeat	echolalia	39822.746689833	I took her word for it.	I took her word for it.	0
2	2	listen	echolalia	39829.28713775	I took her word for it.	I took her word for it.	0
3	3	readRepeat	echolalia	39838.109306083	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
3	3	listen	echolalia	39844.524354375	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
4	4	readRepeat	echolalia	39853.546932625	Robin likes the color yellow.	Robin likes the color yellow.	0
4	4	listen	echolalia	39859.578685125	Robin likes the color yellow.	Robin likes the color yellow.	0
5	5	readRepeat	echolalia	39868.734466875	Is she going with you?	Is she going with you?	0
5	5	listen	echolalia	39873.825000583	Is she going with you?	Is she going with you?	0
6	6	readRepeat	echolalia	39880.915127875	Which theatre shows "Mother Goose"?	Which theatre shows "Mother Goose"?	0
6	6	listen	echolalia	39886.938798333	Which theatre shows "Mother Goose"?	Which theatre shows "Mother Goose"?	0
7	7	readRepeat	echolalia	39894.836483125	Cut a small corner off each edge.	Cut a small corner off each edge.	0
7	7	listen	echolalia	39900.951470291	Cut a small corner off each edge.	Cut a small corner off each edge.	0
8	8	readRepeat	echolalia	39909.857180791	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
8	8	listen	echolalia	39916.489062333	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
9	9	readRepeat	echolalia	39925.211796375	Tom reads the same book every night.	Tom reads the same book every night.	0
9	9	listen	echolalia	39931.176794208	Tom reads the same book every night.	Tom reads the same book every night.	0
10	10	readRepeat	echolalia	39939.266479208	He ate four eggs for breakfast.	He ate four eggs for breakfast.	0
10	10	listen	echolalia	39944.965073291	He ate four eggs for breakfast.	He ate four eggs for breakfast.	0
11	11	readRepeat	echolalia	39952.354879625	They often go out in the evening.	They often go out in the evening.	0
11	11	listen	echolalia	39957.937030125	They often go out in the evening.	They often go out in the evening.	0
12	12	readRepeat	echolalia	39965.343194708	Spring Street is straight ahead.	Spring Street is straight ahead.	0
12	12	listen	echolalia	39971.316726791	Spring Street is straight ahead.	Spring Street is straight ahead.	0
13	13	readRepeat	echolalia	39978.656361541	Is this seesaw safe?	Is this seesaw safe?	0
13	13	listen	echolalia	39983.871741208	Is this seesaw safe?	Is this seesaw safe?	0
14	14	readRepeat	echolalia	39990.936767458	This was easy for us.	This was easy for us.	0
14	14	listen	echolalia	39996.235508125	This was easy for us.	This was easy for us.	0
15	15	readRepeat	echolalia	40003.37460825	I saw a purple crab on the beach.	I saw a purple crab on the beach.	0
15	15	listen	echolalia	40008.698534791	I saw a purple crab on the beach.	I saw a purple crab on the beach.	0
16	16	readRepeat	echolalia	40015.671736958	Don't do Charlie's dirty dishes.	Don't do Charlie's dirty dishes.	0
16	16	listen	echolalia	40021.578632	Don't do Charlie's dirty dishes.	Don't do Charlie's dirty dishes.	0
17	17	readRepeat	echolalia	40029.151580166	Should giraffes be kept in small zoos?	Should giraffes be kept in small zoos?	0
17	17	listen	echolalia	40035.624711125	Should giraffes be kept in small zoos?	Should giraffes be kept in small zoos?	0
18	18	readRepeat	echolalia	40045.096885041	Even I get the Monday blues!	Even I get the Monday blues!	0
18	18	listen	echolalia	40050.637526458	Even I get the Monday blues!	Even I get the Monday blues!	0
19	19	readRepeat	echolalia	40058.085491	They own a big house in Austin, Texas.	They own a big house in Austin, Texas.	0
19	19	listen	echolalia	40063.850621583	They own a big house in Austin, Texas.	They own a big house in Austin, Texas.	0
20	20	readRepeat	echolalia	40071.723457708	Blue cheese smells funny.	Blue cheese smells funny.	0
20	20	listen	echolalia	40077.022064833	Blue cheese smells funny.	Blue cheese smells funny.	0
21	21	readRepeat	echolalia	40083.912197208	The big dog loved to chew on the old rag doll.	The big dog loved to chew on the old rag doll.	0
21	21	listen	echolalia	40092.459991791	The big dog loved to chew on the old rag doll.	The big dog loved to chew on the old rag doll.	0
22	22	readRepeat	echolalia	40102.473569791	Guess the question from the answer.	Guess the question from the answer.	0
22	22	listen	echolalia	40108.297398666	Guess the question from the answer.	Guess the question from the answer.	0
23	23	readRepeat	echolalia	40115.878976708	Swing your arm as high as you can.	Swing your arm as high as you can.	0
23	23	listen	echolalia	40121.444099583	Swing your arm as high as you can.	Swing your arm as high as you can.	0
24	24	readRepeat	echolalia	40128.35022025	Please sing just the club theme.	Please sing just the club theme.	0
24	24	listen	echolalia	40137.231708958	Please sing just the club theme.	Please sing just the club theme.	0
25	25	readRepeat	echolalia	40147.862047875	The angry boy didn't look up.	The angry boy didn't look up.	0
25	25	listen	echolalia	40153.627280208	The angry boy didn't look up.	The angry boy didn't look up.	0
0	0	break	break	40162.15791875	break	break	break
1	26	readRepeat	shuffled	40162.15791875	Nancy has the best grades in the class.	How do you know my name?	0
1	26	listen	shuffled	40179.520529541	Nancy has the best grades in the class.	How do you know my name?	0
2	27	readRepeat	shuffled	40188.751045208	I took her word for it.	She is taller than I am.	0
2	27	listen	shuffled	40193.7336705	I took her word for it.	She is taller than I am.	0
3	28	readRepeat	shuffled	40198.5898065	Orange juice tastes funny after toothpaste.	Jane helped her sister with homework.	0
3	28	listen	shuffled	40204.772172125	Orange juice tastes funny after toothpaste.	Jane helped her sister with homework.	0
4	29	readRepeat	shuffled	40211.711882166	Robin likes the color yellow.	Tom reads the same book every night.	0
4	29	listen	shuffled	40217.093983666	Robin likes the color yellow.	Tom reads the same book every night.	0
5	30	readRepeat	shuffled	40225.200166916	Is she going with you?	Nancy has the best grades in the class.	0
5	30	listen	shuffled	40229.898873375	Is she going with you?	Nancy has the best grades in the class.	0
6	31	readRepeat	shuffled	40240.104436083	Which theatre shows "Mother Goose"?	Blue cheese smells funny.	0
6	31	listen	shuffled	40245.42836125	Which theatre shows "Mother Goose"?	Blue cheese smells funny.	0
7	32	readRepeat	shuffled	40253.08476125	Cut a small corner off each edge.	I took her word for it.	0
7	32	listen	shuffled	40259.049698333	Cut a small corner off each edge.	I took her word for it.	0
8	33	readRepeat	shuffled	40266.889063166	They all enjoy ice cream sundaes.	The cat's meow always hurts my ears.	0
8	33	listen	shuffled	40273.004117208	They all enjoy ice cream sundaes.	The cat's meow always hurts my ears.	0
9	34	readRepeat	shuffled	40284.484235875	Tom reads the same book every night.	How do oysters make pearls?	0
9	34	listen	shuffled	40290.707902375	Tom reads the same book every night.	How do oysters make pearls?	0
10	35	readRepeat	shuffled	40298.04741675	He ate four eggs for breakfast.	The big dog loved to chew on the old rag doll.	0
10	35	listen	shuffled	40304.638211791	He ate four eggs for breakfast.	The big dog loved to chew on the old rag doll.	0
11	36	readRepeat	shuffled	40311.735976375	They often go out in the evening.	The roses smelled very sweet.	0
11	36	listen	shuffled	40317.15110325	They often go out in the evening.	The roses smelled very sweet.	0
12	37	readRepeat	shuffled	40325.823716375	Spring Street is straight ahead.	Bob looked for shells by the ocean.	0
12	37	listen	shuffled	40331.022546291	Spring Street is straight ahead.	Bob looked for shells by the ocean.	0
13	38	readRepeat	shuffled	40338.686738791	Is this seesaw safe?	She slipped on the stairs.	0
13	38	listen	shuffled	40343.686378458	Is this seesaw safe?	She slipped on the stairs.	0
14	39	readRepeat	shuffled	40351.616755166	This was easy for us.	They own a big house in Austin, Texas.	0
14	39	listen	shuffled	40356.557531041	This was easy for us.	They own a big house in Austin, Texas.	0
15	40	readRepeat	shuffled	40364.738854791	I saw a purple crab on the beach.	We welcome many new students each year.	0
15	40	listen	shuffled	40370.237208666	I saw a purple crab on the beach.	We welcome many new students each year.	0
16	41	readRepeat	shuffled	40377.377130583	Don't do Charlie's dirty dishes.	We are open every Monday evening.	0
16	41	listen	shuffled	40383.425269541	Don't do Charlie's dirty dishes.	We are open every Monday evening.	0
17	42	readRepeat	shuffled	40391.240071333	Should giraffes be kept in small zoos?	Don't do Charlie's dirty dishes.	0
17	42	listen	shuffled	40397.746911416	Should giraffes be kept in small zoos?	Don't do Charlie's dirty dishes.	0
18	43	readRepeat	shuffled	40405.719137083	Even I get the Monday blues!	Is she going with you?	0
18	43	listen	shuffled	40410.984694916	Even I get the Monday blues!	Is she going with you?	0
19	44	readRepeat	shuffled	40421.756921416	They own a big house in Austin, Texas.	Swing your arm as high as you can.	0
19	44	listen	shuffled	40427.489479208	They own a big house in Austin, Texas.	Swing your arm as high as you can.	0
20	45	readRepeat	shuffled	40435.337209291	Blue cheese smells funny.	Is this seesaw safe?	0
20	45	listen	shuffled	40440.185923	Blue cheese smells funny.	Is this seesaw safe?	0
21	46	readRepeat	shuffled	40447.992174	The big dog loved to chew on the old rag doll.	They all enjoy ice cream sundaes.	0
21	46	listen	shuffled	40453.982213791	The big dog loved to chew on the old rag doll.	They all enjoy ice cream sundaes.	0
22	47	readRepeat	shuffled	40462.287848583	Guess the question from the answer.	This was easy for us.	0
22	47	listen	shuffled	40467.553501666	Guess the question from the answer.	This was easy for us.	0
23	48	readRepeat	shuffled	40475.726186625	Swing your arm as high as you can.	Even I get the Monday blues!	0
23	48	listen	shuffled	40480.683666541	Swing your arm as high as you can.	Even I get the Monday blues!	0
24	49	readRepeat	shuffled	40487.939865708	Please sing just the club theme.	Cut a small corner off each edge.	0
24	49	listen	shuffled	40493.363397291	Please sing just the club theme.	Cut a small corner off each edge.	0
25	50	readRepeat	shuffled	40501.694675291	The angry boy didn't look up.	Steve wore a bright red sweater.	0
25	50	listen	shuffled	40507.951268583	The angry boy didn't look up.	Steve wore a bright red sweater.	0

