August 31, 2022 at 6:29:50 PM
ONSET PROD LOG FILE
S0000_B1
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	166551.671521666	Nancy has the best grades in the class.	Nancy has the best grades in the class.	0
1	1	listen	echolalia	166559.774470041	Nancy has the best grades in the class.	Nancy has the best grades in the class.	0
2	2	readRepeat	echolalia	166563.015045291	I took her word for it.	I took her word for it.	0
2	2	listen	echolalia	166569.072321625	I took her word for it.	I took her word for it.	0
3	3	readRepeat	echolalia	166577.569477125	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
3	3	listen	echolalia	166581.55217725	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
4	4	readRepeat	echolalia	166587.825510041	Robin likes the color yellow.	Robin likes the color yellow.	0
4	4	listen	echolalia	166593.407495333	Robin likes the color yellow.	Robin likes the color yellow.	0
5	5	readRepeat	echolalia	166600.638271083	Is she going with you?	Is she going with you?	0
5	5	listen	echolalia	166605.179829041	Is she going with you?	Is she going with you?	0
6	6	readRepeat	echolalia	166611.044447166	Which theatre shows "Mother Goose"?	Which theatre shows "Mother Goose"?	0
6	6	listen	echolalia	166618.542272708	Which theatre shows "Mother Goose"?	Which theatre shows "Mother Goose"?	0
7	7	readRepeat	echolalia	166627.073195958	Cut a small corner off each edge.	Cut a small corner off each edge.	0
7	7	listen	echolalia	166633.630255125	Cut a small corner off each edge.	Cut a small corner off each edge.	0
8	8	readRepeat	echolalia	166641.403002	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
8	8	listen	echolalia	166646.7515995	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
9	9	readRepeat	echolalia	166658.265173833	Tom reads the same book every night.	Tom reads the same book every night.	0
9	9	listen	echolalia	166677.459501916	Tom reads the same book every night.	Tom reads the same book every night.	0
10	10	readRepeat	echolalia	166698.429532625	He ate four eggs for breakfast.	He ate four eggs for breakfast.	0
10	10	listen	echolalia	166704.395121625	He ate four eggs for breakfast.	He ate four eggs for breakfast.	0
11	11	readRepeat	echolalia	166712.90112125	They often go out in the evening.	They often go out in the evening.	0
11	11	listen	echolalia	166722.398227083	They often go out in the evening.	They often go out in the evening.	0
12	12	readRepeat	echolalia	166733.312442166	Spring Street is straight ahead.	Spring Street is straight ahead.	0
12	12	listen	echolalia	166741.534781208	Spring Street is straight ahead.	Spring Street is straight ahead.	0
13	13	readRepeat	echolalia	166751.257467958	Is this seesaw safe?	Is this seesaw safe?	0
13	13	listen	echolalia	166755.92337475	Is this seesaw safe?	Is this seesaw safe?	0
14	14	readRepeat	echolalia	166761.954753125	This was easy for us.	This was easy for us.	0
14	14	listen	echolalia	166768.14563625	This was easy for us.	This was easy for us.	0
15	15	readRepeat	echolalia	166777.067387958	I saw a purple crab on the beach.	I saw a purple crab on the beach.	0
15	15	listen	echolalia	166782.491055	I saw a purple crab on the beach.	I saw a purple crab on the beach.	0
16	16	readRepeat	echolalia	166789.197748333	Don't do Charlie's dirty dishes.	Don't do Charlie's dirty dishes.	0
16	16	listen	echolalia	166794.613623083	Don't do Charlie's dirty dishes.	Don't do Charlie's dirty dishes.	0
17	17	readRepeat	echolalia	166801.261325458	Should giraffes be kept in small zoos?	Should giraffes be kept in small zoos?	0
17	17	listen	echolalia	166807.642717125	Should giraffes be kept in small zoos?	Should giraffes be kept in small zoos?	0
18	18	readRepeat	echolalia	166815.549157958	Even I get the Monday blues!	Even I get the Monday blues!	0
18	18	listen	echolalia	166825.129829208	Even I get the Monday blues!	Even I get the Monday blues!	0
19	19	readRepeat	echolalia	166836.160604625	They own a big house in Austin, Texas.	They own a big house in Austin, Texas.	0
19	19	listen	echolalia	166842.759499416	They own a big house in Austin, Texas.	They own a big house in Austin, Texas.	0
20	20	readRepeat	echolalia	166850.7651	Blue cheese smells funny.	Blue cheese smells funny.	0
20	20	listen	echolalia	166856.28004325	Blue cheese smells funny.	Blue cheese smells funny.	0
21	21	readRepeat	echolalia	166863.461804083	The big dog loved to chew on the old rag doll.	The big dog loved to chew on the old rag doll.	0
