subj,ch_name,el_p,sh_p
S0004,LHippo1,0.483,0.595
S0004,LHippo2,0.523,0.487
S0004,LHippo3,0.47,0.458
S0004,LHippo4,0.482,0.398
S0004,LHippo5,0.52,0.373
S0004,LHippo6,0.564,0.444
S0004,LHippo7,0.528,0.536
S0004,LHippo8,0.525,0.625
S0004,LHippo9,0.429,0.53
S0004,LHippo10,0.522,0.616
S0004,RHippo1,0.359,0.288
S0004,RHippo2,0.339,0.299
S0004,RHippo3,0.35,0.313
S0004,RHippo4,0.415,0.362
S0004,RHippo5,0.359,0.275
S0004,RHippo6,0.272,0.233
S0004,RHippo7,0.347,0.368
S0004,RHippo8,0.423,0.491
S0004,RHippo10,0.261,0.34
S0004,RAntTm1,0.364,0.452
S0004,RAntTm2,0.473,0.429
S0004,RAntTm3,0.461,0.447
S0004,RAntTm4,0.377,0.369
S0004,RAntTm5,0.465,0.379
S0004,RAntTm6,0.407,0.237
S0004,RAntTm7,0.461,0.281
S0004,RAntTm8,0.493,0.372
S0004,RAntTm9,0.431,0.416
S0004,RAntTm10,0.415,0.27
S0004,RMdTm51,0.326,0.363
S0004,RMdTm52,0.249,0.166
S0004,RMdTm53,0.221,0.188
S0004,RMdTm54,0.189,0.074
S0004,RMdTm55,0.044,0.166
S0004,RMdTm56,0.118,0.063
S0004,RMdTm57,0.031,0.012
S0004,RMdTm58,0.019,0.015
S0004,RMdTm71,0.453,0.408
S0004,RMdTm72,0.415,0.302
S0004,RMdTm73,0.343,0.28
S0004,RMdTm74,0.359,0.327
S0004,RMdTm75,0.44,0.323
S0004,RMdTm76,0.349,0.397
S0004,RMdTm77,0.254,0.182
S0004,RMdTm78,0.056,0.054
S0004,RInTm51,0.274,0.269
S0004,RInTm52,0.284,0.186
S0004,RInTm53,0.22,0.141
S0004,RInTm54,0.122,0.099
S0004,RInTm55,0.073,0.077
S0004,RInTm56,0.085,0.077
S0004,RInTm57,0.456,0.611
S0004,RInTm58,0.412,0.534
