subj,ch_name,spkr_p,mic_p
S0004,LHippo1,0.57,0.136
S0004,LHippo2,0.487,0.488
S0004,LHippo3,0.441,0.356
S0004,LHippo4,0.445,0.334
S0004,LHippo5,0.417,0.24
S0004,LHippo6,0.475,0.267
S0004,LHippo7,0.525,0.297
S0004,LHippo8,0.551,0.291
S0004,LHippo9,0.495,0.076
S0004,LHippo10,0.569,0.112
S0004,RHippo1,0.322,0.024
S0004,RHippo2,0.32,0.011
S0004,RHippo3,0.354,0.017
S0004,RHippo4,0.35,0.086
S0004,RHippo5,0.339,0.083
S0004,RHippo6,0.247,0.192
S0004,RHippo7,0.369,0.537
S0004,RHippo8,0.464,0.717
S0004,RHippo10,0.301,0.387
S0004,RAntTm1,0.4,0.004
S0004,RAntTm2,0.459,0.008
S0004,RAntTm3,0.467,0.005
S0004,RAntTm4,0.414,0.045
S0004,RAntTm5,0.406,0.179
S0004,RAntTm6,0.298,0.152
S0004,RAntTm7,0.361,0.198
S0004,RAntTm8,0.425,0.325
S0004,RAntTm9,0.437,0.214
S0004,RAntTm10,0.337,0.158
S0004,RMdTm51,0.363,0.331
S0004,RMdTm52,0.214,0.19
S0004,RMdTm53,0.243,0.044
S0004,RMdTm54,0.103,0.082
S0004,RMdTm55,0.09,0.035
S0004,RMdTm56,0.095,0.524
S0004,RMdTm57,0.025,0.257
S0004,RMdTm58,0.015,0.032
S0004,RMdTm71,0.48,0.054
S0004,RMdTm72,0.372,0.042
S0004,RMdTm73,0.31,0.135
S0004,RMdTm74,0.359,0.313
S0004,RMdTm75,0.371,0.547
S0004,RMdTm76,0.359,0.101
S0004,RMdTm77,0.234,0.12
S0004,RMdTm78,0.064,0.001
S0004,RInTm51,0.245,0.374
S0004,RInTm52,0.221,0.309
S0004,RInTm53,0.185,0.137
S0004,RInTm54,0.121,0.07
S0004,RInTm55,0.088,0.022
S0004,RInTm56,0.107,0.024
S0004,RInTm57,0.533,0.004
S0004,RInTm58,0.5,0.003
S0004,RSpTm51,0.248,0.349
S0004,RSpTm52,0.432,0.494
S0004,RSpTm53,0.13,0.07
S0004,RSpTm54,0.223,0.265
S0004,RSpTm55,0.234,0.362
S0004,RSpTm56,0.083,0.198
S0004,RSpTm57,0.0,0.001
S0004,RSpTm58,0.0,0.0
S0004,RSpTm71,0.282,0.014
S0004,RSpTm72,0.327,0.31
S0004,RSpTm73,0.897,0.997
S0004,RSpTm74,0.853,0.921
S0004,RSpTm75,0.561,0.369
S0004,RSpTm76,0.387,0.244
S0004,RSpTm77,0.277,0.08
S0004,RInIns3,0.467,0.445
S0004,RInIns4,0.143,0.168
S0004,RInIns5,0.045,0.023
S0004,RInIns7,0.006,0.0
S0004,RInIns8,0.004,0.0
S0004,RSpIns1,0.155,0.007
S0004,RSpIns2,0.377,0.012
S0004,RSpIns3,0.385,0.043
S0004,RSpIns4,0.298,0.002
S0004,RSpIns5,0.13,0.004
S0004,RSpIns6,0.13,0.008
S0004,RSpIns7,0.262,0.017
S0004,RSpIns8,0.053,0.005
S0006,RAST1,0.453,0.149
S0006,RAST2,0.268,0.234
S0006,RAST3,0.208,0.263
S0006,RAST5,0.204,0.325
S0006,RAST6,0.189,0.221
S0006,RAST7,0.281,0.176
S0006,RAST8,0.297,0.099
S0006,RAST9,0.266,0.053
S0006,RAST10,0.163,0.055
S0006,RAST11,0.385,0.073
S0006,RAST12,0.531,0.083
S0006,RMST1,0.294,0.186
S0006,RMST2,0.254,0.216
S0006,RMST3,0.314,0.209
S0006,RMST4,0.282,0.19
S0006,RMST5,0.184,0.181
S0006,RMST6,0.174,0.2
S0006,RMST7,0.149,0.137
S0006,RMST8,0.102,0.115
S0006,RMST9,0.0,0.032
S0006,RMST10,0.0,0.04
S0006,RMST11,0.0,0.169
S0006,RMST12,0.013,0.086
S0006,RMST13,0.169,0.069
S0006,RMST14,0.434,0.106
S0006,RPST1,0.678,0.264
S0006,RPST2,0.396,0.101
S0006,RPST3,0.424,0.123
S0006,RPST4,0.311,0.054
S0006,RPST5,0.349,0.317
S0006,RPST6,0.198,0.167
S0006,RPST7,0.067,0.019
S0006,RPST8,0.091,0.058
S0006,RPST9,0.18,0.262
S0006,RPST10,0.199,0.283
S0006,RPST11,0.047,0.038
S0006,RPST12,0.411,0.093
S0006,RPPST1,0.558,0.095
S0006,RPPST2,0.684,0.196
S0006,RPPST3,0.74,0.169
S0006,RPPST4,0.548,0.068
S0006,RPPST5,0.383,0.039
S0006,RPPST6,0.401,0.337
S0006,RPPST7,0.208,0.263
S0006,RPPST8,0.025,0.0
S0006,RPPST9,0.001,0.004
S0006,RPPST10,0.0,0.009
S0006,RPPST11,0.0,0.009
S0006,RPPST13,0.0,0.0
S0006,RPPST14,0.0,0.0
S0006,RPPST15,0.0,0.0
S0006,RPPST16,0.413,0.067
S0006,RAIF1,0.268,0.016
S0006,RAIF2,0.052,0.011
S0006,RAIF3,0.26,0.128
S0006,RAIF4,0.235,0.472
S0006,RAIF5,0.336,0.917
S0006,RAIF6,0.223,0.578
S0006,RAIF7,0.432,0.347
S0006,RAIF8,0.603,0.222
S0006,RPI1,0.238,0.375
S0006,RPI2,0.174,0.303
S0006,RPI3,0.21,0.164
S0006,RPI4,0.431,0.088
S0006,RPI5,0.289,0.016
S0006,RPI6,0.172,0.02
S0006,RPI7,0.268,0.027
S0006,RPI8,0.092,0.14
S0006,RPI9,0.061,0.072
S0006,RPI10,0.004,0.0
S0006,RPI11,0.014,0.001
S0006,RPI12,0.086,0.004
S0006,RPI13,0.232,0.023
S0006,RPI14,0.369,0.075
S0006,RPI15,0.461,0.264
