r,model,subject,channel
0.22859285800166035,model1,S0004,LHippo1
0.07031320595439906,model4,S0004,LHippo1
0.01825630357814912,model1,S0004,LHippo2
0.019129517160354936,model4,S0004,LHippo2
0.06015456520016249,model1,S0004,LHippo3
0.03175472697576029,model4,S0004,LHippo3
0.05162551106299967,model1,S0004,LHippo4
-0.015750658045322274,model4,S0004,LHippo4
0.12379297288586988,model1,S0004,LHippo5
0.023412284002279415,model4,S0004,LHippo5
0.09237913582595512,model1,S0004,LHippo6
0.006805716597503913,model4,S0004,LHippo6
0.07778161114304882,model1,S0004,LHippo7
-0.02364577060730134,model4,S0004,LHippo7
0.09177731281495126,model1,S0004,LHippo8
-0.031690647334614644,model4,S0004,LHippo8
0.16943366441667052,model1,S0004,LHippo9
0.03938799324545112,model4,S0004,LHippo9
0.2253082187165558,model1,S0004,LHippo10
0.05785837927084461,model4,S0004,LHippo10
0.15472813193565227,model1,S0004,RHippo1
0.04261429859478663,model4,S0004,RHippo1
0.19040376620355728,model1,S0004,RHippo2
0.0544074456815622,model4,S0004,RHippo2
0.1761344214515768,model1,S0004,RHippo3
0.04469686017954927,model4,S0004,RHippo3
0.12175517896941293,model1,S0004,RHippo4
-0.0044771007834972015,model4,S0004,RHippo4
0.07442751236828285,model1,S0004,RHippo5
-0.015201096617975546,model4,S0004,RHippo5
-0.031575850895876625,model1,S0004,RHippo6
-0.027231624640086827,model4,S0004,RHippo6
0.048248306767590746,model1,S0004,RHippo7
-0.035305963119549116,model4,S0004,RHippo7
0.07000922084543681,model1,S0004,RHippo8
0.0004979947045805653,model4,S0004,RHippo8
0.03463802565201303,model1,S0004,RHippo10
-0.011935347842204048,model4,S0004,RHippo10
0.25449340704198553,model1,S0004,RAntTm1
0.04820977705724267,model4,S0004,RAntTm1
0.1923060605323207,model1,S0004,RAntTm2
0.04586702848693158,model4,S0004,RAntTm2
0.2272723514865329,model1,S0004,RAntTm3
0.03352639537264489,model4,S0004,RAntTm3
0.11990616111358665,model1,S0004,RAntTm4
0.03049794693132072,model4,S0004,RAntTm4
0.09322087142884272,model1,S0004,RAntTm5
0.029708574365922582,model4,S0004,RAntTm5
0.028820953312773488,model1,S0004,RAntTm6
0.02030521568244844,model4,S0004,RAntTm6
0.06450212422963207,model1,S0004,RAntTm7
0.017744410418072686,model4,S0004,RAntTm7
0.050896831800045984,model1,S0004,RAntTm8
-0.001781976755721477,model4,S0004,RAntTm8
0.02859771951787762,model1,S0004,RAntTm9
-0.006600524653588811,model4,S0004,RAntTm9
0.03855317667316532,model1,S0004,RAntTm10
-0.014672365199184871,model4,S0004,RAntTm10
-0.02455744541363636,model1,S0004,RMdTm51
-0.033106804030946964,model4,S0004,RMdTm51
0.028146383443432826,model1,S0004,RMdTm52
0.000676439091149947,model4,S0004,RMdTm52
0.0960282831407774,model1,S0004,RMdTm53
0.01108876309605511,model4,S0004,RMdTm53
-0.0054750280888880105,model1,S0004,RMdTm54
0.006662115955842517,model4,S0004,RMdTm54
0.04525350693610168,model1,S0004,RMdTm55
0.029417917555173083,model4,S0004,RMdTm55
0.025216787671890863,model1,S0004,RMdTm56
0.013215233557016013,model4,S0004,RMdTm56
0.0528928415636056,model1,S0004,RMdTm57
-0.03235633495646284,model4,S0004,RMdTm57
0.013769295006892664,model1,S0004,RMdTm58
0.0033826376212581963,model4,S0004,RMdTm58
0.13552705706730062,model1,S0004,RMdTm71
0.015263548711957063,model4,S0004,RMdTm71
0.13893889380082053,model1,S0004,RMdTm72
0.012246120091333782,model4,S0004,RMdTm72
0.1093082509703282,model1,S0004,RMdTm73
-0.005594513938138644,model4,S0004,RMdTm73
0.07756334756368062,model1,S0004,RMdTm74
0.029762880418575662,model4,S0004,RMdTm74
0.028435729835201387,model1,S0004,RMdTm75
