subj,elec,elec_type,roi,roi_condensed,window,si
S0004,LHippo1,no_onset,Left-Hippocampus,hippo,onset,0.025281832813217164
S0004,LHippo1,no_onset,Left-Hippocampus,hippo,sustained,0.02737190620867258
S0004,LHippo2,no_onset,Left-Hippocampus,hippo,onset,0.3141119238384753
S0004,LHippo2,no_onset,Left-Hippocampus,hippo,sustained,0.25373154509986007
S0004,LHippo3,no_onset,Left-Hippocampus,hippo,onset,0.2619703453362303
S0004,LHippo3,no_onset,Left-Hippocampus,hippo,sustained,0.2232314166955136
S0004,LHippo4,no_onset,Left-Hippocampus,hippo,onset,0.26418498222859377
S0004,LHippo4,no_onset,Left-Hippocampus,hippo,sustained,0.20582578543357766
S0004,LHippo5,no_onset,Left-Hippocampus,hippo,onset,0.22532247178236497
S0004,LHippo5,no_onset,Left-Hippocampus,hippo,sustained,0.19117053903606074
S0004,LHippo6,no_onset,Left-Hippocampus,hippo,onset,0.22538328952138897
S0004,LHippo6,no_onset,Left-Hippocampus,hippo,sustained,0.19597983389165563
S0004,LHippo7,no_onset,Left-Hippocampus,hippo,onset,0.22075833026615466
S0004,LHippo7,no_onset,Left-Hippocampus,hippo,sustained,0.19387008688633744
S0004,LHippo8,no_onset,Left-Hippocampus,hippo,onset,0.2055913588076883
S0004,LHippo8,no_onset,Left-Hippocampus,hippo,sustained,0.15785996226250432
S0004,LHippo9,no_onset,Left-Cerebral-White-Matter,wm,onset,0.08723285055984364
S0004,LHippo9,no_onset,Left-Cerebral-White-Matter,wm,sustained,0.0803786666950741
S0004,LHippo10,no_onset,Left-Cerebral-White-Matter,wm,onset,0.007664076761375815
S0004,LHippo10,no_onset,Left-Cerebral-White-Matter,wm,sustained,0.023361237677707036
S0004,RHippo1,mic_only,ctx_rh_Pole_temporal,temp_pole,onset,0.004953487404089296
S0004,RHippo1,mic_only,ctx_rh_Pole_temporal,temp_pole,sustained,0.05878578225545361
S0004,RHippo2,mic_only,ctx_rh_G_temp_sup-Plan_polar,PP,onset,-0.012738121487433474
S0004,RHippo2,mic_only,ctx_rh_G_temp_sup-Plan_polar,PP,sustained,0.03992770008921531
S0004,RHippo3,no_onset,Right-Amygdala,amyg,onset,0.0036569046769654445
S0004,RHippo3,no_onset,Right-Amygdala,amyg,sustained,0.04836002789405325
S0004,RHippo4,no_onset,Right-Amygdala,amyg,onset,0.09485737533036409
S0004,RHippo4,no_onset,Right-Amygdala,amyg,sustained,0.16501380535376708
S0004,RHippo5,no_onset,Right-Hippocampus,hippo,onset,0.17911273023203567
S0004,RHippo5,no_onset,Right-Hippocampus,hippo,sustained,0.23333572773722122
S0004,RHippo6,no_onset,Right-Hippocampus,hippo,onset,0.29385262533451706
S0004,RHippo6,no_onset,Right-Hippocampus,hippo,sustained,0.32060765867799246
S0004,RHippo7,no_onset,Right-Hippocampus,hippo,onset,0.35798181316761557
S0004,RHippo7,no_onset,Right-Hippocampus,hippo,sustained,0.4029167805653575
S0004,RHippo8,no_onset,Right-Hippocampus,hippo,onset,0.38762289836616093
S0004,RHippo8,no_onset,Right-Hippocampus,hippo,sustained,0.3968933250901583
S0004,RHippo10,no_onset,Right-Hippocampus,hippo,onset,0.34460933437461416
S0004,RHippo10,no_onset,Right-Hippocampus,hippo,sustained,0.33253920157602557
S0004,RAntTm1,mic_only,ctx_rh_Pole_temporal,temp_pole,onset,-0.11081072358913546
S0004,RAntTm1,mic_only,ctx_rh_Pole_temporal,temp_pole,sustained,-0.07992019617795132
S0004,RAntTm2,mic_only,ctx_rh_Pole_temporal,temp_pole,onset,-0.06229209642402622
S0004,RAntTm2,mic_only,ctx_rh_Pole_temporal,temp_pole,sustained,0.012622997705890482
S0004,RAntTm3,mic_only,Right-Cerebral-White-Matter,wm,onset,-0.07436591917907043
S0004,RAntTm3,mic_only,Right-Cerebral-White-Matter,wm,sustained,-0.005842212521724344
S0004,RAntTm4,mic_only,ctx_rh_Pole_temporal,temp_pole,onset,0.14008061898111457
S0004,RAntTm4,mic_only,ctx_rh_Pole_temporal,temp_pole,sustained,0.15213756914055576
S0004,RAntTm5,no_onset,ctx_rh_S_temporal_inf,ITS,onset,0.19896697792956086
S0004,RAntTm5,no_onset,ctx_rh_S_temporal_inf,ITS,sustained,0.20367356458359498
S0004,RAntTm6,no_onset,ctx_rh_S_temporal_inf,ITS,onset,0.2580210812015007
S0004,RAntTm6,no_onset,ctx_rh_S_temporal_inf,ITS,sustained,0.2581833756305518
S0004,RAntTm7,no_onset,ctx_rh_G_temporal_middle,MTG,onset,0.2619255883553495
S0004,RAntTm7,no_onset,ctx_rh_G_temporal_middle,MTG,sustained,0.24672689698543082
S0004,RAntTm8,no_onset,ctx_rh_G_temporal_middle,MTG,onset,0.27314314948402263
S0004,RAntTm8,no_onset,ctx_rh_G_temporal_middle,MTG,sustained,0.23165576554951373
S0004,RAntTm9,no_onset,ctx_rh_G_temporal_middle,MTG,onset,0.24850122455042256
S0004,RAntTm9,no_onset,ctx_rh_G_temporal_middle,MTG,sustained,0.25774451546891597
S0004,RAntTm10,no_onset,ctx_rh_G_temporal_middle,MTG,onset,0.24447245826894282
S0004,RAntTm10,no_onset,ctx_rh_G_temporal_middle,MTG,sustained,0.2583158438865658
S0004,RMdTm51,no_onset,Right-Hippocampus,hippo,onset,0.28987693154740724
S0004,RMdTm51,no_onset,Right-Hippocampus,hippo,sustained,0.30044910158606597
S0004,RMdTm52,no_onset,Right-Cerebral-White-Matter,wm,onset,0.2704381006999226
S0004,RMdTm52,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.30010999162526164
S0004,RMdTm53,mic_only,ctx_rh_S_temporal_sup,STS,onset,0.12534017623587368
S0004,RMdTm53,mic_only,ctx_rh_S_temporal_sup,STS,sustained,0.2555276199007521
S0004,RMdTm54,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.2828629264030633
S0004,RMdTm54,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.34635384328943997
S0004,RMdTm55,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.2338084684247348
S0004,RMdTm55,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.28276245086025864
S0004,RMdTm56,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.5831741608698648
S0004,RMdTm56,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.5149944999710734
S0004,RMdTm57,spkr_only,ctx_rh_S_temporal_sup,STS,onset,0.5529683859658949
S0004,RMdTm57,spkr_only,ctx_rh_S_temporal_sup,STS,sustained,0.5398250029077643
S0004,RMdTm58,no_onset,ctx_rh_G_temp_sup-Lateral,STG,onset,0.31819779520417146
S0004,RMdTm58,no_onset,ctx_rh_G_temp_sup-Lateral,STG,sustained,0.4156271359381738
S0004,RMdTm71,mic_only,Right-Cerebral-White-Matter,wm,onset,0.14736091948251429
S0004,RMdTm71,mic_only,Right-Cerebral-White-Matter,wm,sustained,0.11666478175396211
S0004,RMdTm72,mic_only,Right-Cerebral-White-Matter,wm,onset,0.1368685614158225
S0004,RMdTm72,mic_only,Right-Cerebral-White-Matter,wm,sustained,0.1364011697168137
S0004,RMdTm73,mic_only,Right-Cerebral-White-Matter,wm,onset,0.21430935272313012
S0004,RMdTm73,mic_only,Right-Cerebral-White-Matter,wm,sustained,0.19413927762781924
S0004,RMdTm74,no_onset,ctx_rh_G_temporal_middle,MTG,onset,0.2533548173185236
S0004,RMdTm74,no_onset,ctx_rh_G_temporal_middle,MTG,sustained,0.21704585934703013
S0004,RMdTm75,no_onset,ctx_rh_G_temporal_middle,MTG,onset,0.35048001686043606
S0004,RMdTm75,no_onset,ctx_rh_G_temporal_middle,MTG,sustained,0.2758034239356988
S0004,RMdTm76,no_onset,ctx_rh_G_temporal_middle,MTG,onset,0.18706172852671776
S0004,RMdTm76,no_onset,ctx_rh_G_temporal_middle,MTG,sustained,0.2149017749312616
S0004,RMdTm77,no_onset,ctx_rh_G_temporal_middle,MTG,onset,0.25174717208577935
S0004,RMdTm77,no_onset,ctx_rh_G_temporal_middle,MTG,sustained,0.26275407916592153
S0004,RMdTm78,mic_only,ctx_rh_G_temporal_middle,MTG,onset,0.10997906724742412
S0004,RMdTm78,mic_only,ctx_rh_G_temporal_middle,MTG,sustained,0.1334564603644255
S0004,RInTm51,no_onset,Right-Cerebral-White-Matter,wm,onset,0.34889978098733665
S0004,RInTm51,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.3314439395032234
S0004,RInTm52,no_onset,Right-Cerebral-White-Matter,wm,onset,0.3139271889666486
S0004,RInTm52,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.30846387748961357
S0004,RInTm53,no_onset,Right-Cerebral-White-Matter,wm,onset,0.26750289742367217
S0004,RInTm53,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.25270123217461626
S0004,RInTm54,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.2764057121232375
S0004,RInTm54,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.25049871324570727
S0004,RInTm55,spkr_only,ctx_rh_S_temporal_sup,STS,onset,0.24609960936165476
S0004,RInTm55,spkr_only,ctx_rh_S_temporal_sup,STS,sustained,0.22441415637148276
S0004,RInTm56,dual_onset,ctx_rh_G_temporal_middle,MTG,onset,0.19940914135131194
S0004,RInTm56,dual_onset,ctx_rh_G_temporal_middle,MTG,sustained,0.18152354793432002
S0004,RInTm57,mic_only,ctx_rh_G_temporal_middle,MTG,onset,-0.25106217651736307
S0004,RInTm57,mic_only,ctx_rh_G_temporal_middle,MTG,sustained,-0.2057346918775248
S0004,RInTm58,mic_only,ctx_rh_G_temporal_middle,MTG,onset,-0.24704451357202595
S0004,RInTm58,mic_only,ctx_rh_G_temporal_middle,MTG,sustained,-0.2087908807393155
S0004,RSpTm51,no_onset,Right-Cerebral-White-Matter,wm,onset,0.32302242485282195
S0004,RSpTm51,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.307268433032184
S0004,RSpTm52,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.29417167853644743
S0004,RSpTm52,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.32456428662198844
S0004,RSpTm53,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.2577542040971419
S0004,RSpTm53,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.28085555755611535
S0004,RSpTm54,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.2990100469689194
S0004,RSpTm54,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.2880426996422325
S0004,RSpTm55,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.32657952401737433
S0004,RSpTm55,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.32763958617924005
S0004,RSpTm56,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.3406580421435679
S0004,RSpTm56,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.3142630720779582
S0004,RSpTm57,spkr_only,ctx_rh_G_temp_sup-Lateral,STG,onset,0.40837130614813977
S0004,RSpTm57,spkr_only,ctx_rh_G_temp_sup-Lateral,STG,sustained,0.3558441203457712
S0004,RSpTm58,no_onset,ctx_rh_G_temp_sup-Lateral,STG,onset,0.33833748028959154
S0004,RSpTm58,no_onset,ctx_rh_G_temp_sup-Lateral,STG,sustained,0.37783334166005167
S0004,RSpTm71,mic_only,Right-Cerebral-White-Matter,wm,onset,0.10059181496997471
S0004,RSpTm71,mic_only,Right-Cerebral-White-Matter,wm,sustained,0.12679487923847943
S0004,RSpTm72,spkr_only,ctx_rh_S_temporal_sup,STS,onset,0.24529511411807592
S0004,RSpTm72,spkr_only,ctx_rh_S_temporal_sup,STS,sustained,0.12123688531344445
S0004,RSpTm73,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.39718256402395524
S0004,RSpTm73,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.20592877762229755
S0004,RSpTm74,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.31386020333107956
S0004,RSpTm74,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.17860517689764355
S0004,RSpTm75,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.22828547129482302
S0004,RSpTm75,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.17057336218832542
S0004,RSpTm76,no_onset,ctx_rh_S_temporal_sup,STS,onset,0.24952864538442587
S0004,RSpTm76,no_onset,ctx_rh_S_temporal_sup,STS,sustained,0.23824285744879137
