subj,elec,roi,peak_amp,peak_lat,cond
S0004,RHippo2,a2,0.11891674901794722,0.35,spkr
S0004,RMdTm53,a2,0.1323704091792411,0.33,spkr
S0004,RMdTm55,a2,0.24079442032385448,0.43,spkr
S0004,RMdTm57,a2,0.45120797676103624,0.39,spkr
S0004,RMdTm58,a2,0.2975172353660727,0.48,spkr
S0004,RMdTm76,a2,-0.004195186056870412,0.5,spkr
S0004,RMdTm78,a2,0.13894395474245416,0.26,spkr
S0004,RInTm55,a2,0.16761750398956715,0.22,spkr
S0004,RInTm56,a2,0.17885945752966514,0.23,spkr
S0004,RInTm57,a2,-0.1258042333409205,0.38,spkr
S0004,RInTm58,a2,-0.10768002308558355,0.38,spkr
S0004,RSpTm57,a2,0.5464682692669313,0.27,spkr
S0004,RSpTm58,a2,0.49588601174764335,0.41,spkr
S0004,RSpTm72,a2,0.17475290362416032,0.32,spkr
S0004,RSpTm75,a2,-0.059790091376077936,0.31,spkr
S0004,RInIns5,insular,0.12267876267272167,0.17,spkr
S0004,RSpIns2,insular,-0.0350107563627581,0.5,spkr
S0004,RSpIns3,insular,-0.01552117373199856,0.25,spkr
S0004,RSpIns4,insular,0.006933606088779847,0.45,spkr
S0004,RSpIns5,insular,0.052141974804126606,0.28,spkr
S0004,RSpIns6,insular,0.06582471367932777,0.49,spkr
S0004,RSpIns7,insular,0.06087919140539251,0.08,spkr
S0006,RAST11,a2,0.11253482864170412,0.5,spkr
S0006,RAST12,a2,-0.060106215436366926,0.5,spkr
S0006,RMST9,a2,0.47601890364527016,0.17,spkr
S0006,RMST10,a2,0.9898957974816623,0.24,spkr
S0006,RMST11,a2,0.9153717262200651,0.25,spkr
S0006,RMST12,a2,0.5046222549704875,0.24,spkr
S0006,RMST13,a2,0.14999683643333828,0.23,spkr
S0006,RPST11,a2,0.2974160464108807,0.16,spkr
S0006,RPPST8,a2,0.4404556008133416,0.48,spkr
S0006,RPPST9,a2,0.6575619300292282,0.27,spkr
S0006,RPPST10,a2,0.8507341675239762,0.24,spkr
S0006,RPPST13,a2,1.2445543968943846,0.22,spkr
S0006,RPPST14,a2,1.222605158852642,0.23,spkr
S0006,RPPST15,a2,1.2580770341936793,0.22,spkr
S0006,RAIF1,insular,0.14029647233969386,0.5,spkr
S0006,RAIF2,insular,0.34662503155414015,0.5,spkr
S0006,RPI5,insular,0.15457283961688773,0.31,spkr
S0006,RPI6,insular,0.2761388171072069,0.22,spkr
S0006,RPI7,insular,0.18073564166766837,0.15,spkr
S0007,ASF-AI6,insular,-0.07685634015781924,0.28,spkr
S0007,ASF-AI7,insular,-0.11993253277119328,0.5,spkr
S0007,PSF-PI2,insular,0.6793124561515101,0.22,spkr
S0007,PSF-PI3,insular,0.5688006248748663,0.24,spkr
S0007,PSF-PI4,insular,0.7818107054583688,0.23,spkr
S0007,PSF-PI5,insular,0.6493563046394055,0.19,spkr
S0007,PSF-PI6,insular,0.2631039354613328,0.19,spkr
S0007,PSF-PI7,insular,0.03693774636547537,0.16,spkr
S0014,MTG-AH8,insular,-0.1761395251868587,0.29,spkr
S0014,STG-HG2,a1,0.6464422890230229,0.39,spkr
S0014,STG-HG3,a1,0.7190345481381213,0.34,spkr
S0014,STG-HG4,a1,0.603929321992358,0.25,spkr
S0014,STG-HG5,a1,0.6532260499140983,0.26,spkr
S0014,STG-HG6,a2,0.2920417342316604,0.34,spkr
S0014,AG-PI2,insular,0.07005265239613916,0.16,spkr
S0014,AG-PI5,insular,0.19471303145646265,0.44,spkr
S0014,AG-PI6,insular,0.2838442164326185,0.36,spkr
S0014,AG-PI7,insular,0.10703539350805313,0.45,spkr
S0014,AG-PI8,a1,-0.08335858179060252,0.33,spkr
S0015,AMT-AMG9,a2,-0.021710574919623988,0.34,spkr
S0015,AMT-AMG12,a2,-0.06347445787063667,0.48,spkr
S0015,MST-AHG12,a2,0.2354049318869199,0.33,spkr
S0015,MST-AHG14,a2,0.23459557620060098,0.33,spkr
S0015,PST-PHG7,a2,0.06754007900932006,0.31,spkr
S0015,PST-PHG9,a2,0.2142312082728105,0.45,spkr
S0015,PST-PHG10,a2,0.27322071585804225,0.36,spkr
S0015,PST-PHG12,a2,0.5481859838590026,0.3,spkr
S0015,PST-PHG13,a2,0.5583084502390453,0.32,spkr
S0015,PST-PHG14,a2,0.4361072784356241,0.5,spkr
S0015,MIF-AI2,insular,0.054272071325353215,0.35,spkr
S0015,SP-PI1,insular,-0.07478559404345496,0.34,spkr
S0015,SP-PI2,insular,-0.06638912598469428,0.34,spkr
S0015,SP-PI4,insular,-0.02302294870189923,0.45,spkr
S0015,SP-PI5,insular,0.007333870369724796,0.39,spkr
S0015,SP-PI7,insular,0.06420798676138345,0.18,spkr
S0015,SP-PI8,insular,0.072191340662539,0.27,spkr
S0017,AMT-AMG4,insular,-0.10760893088687833,0.38,spkr
S0017,AMT-AMG9,a2,-0.14055318013758247,0.15,spkr
S0017,AMT-AMG10,a2,-0.3264794731803704,0.1,spkr
S0017,MMT-AH6,a2,-0.02600817912752973,0.35,spkr
S0017,MMT-AH7,a2,0.027462293025261413,0.27,spkr
S0017,MMT-AH8,a2,0.05135142455401365,0.42,spkr
S0017,MMT-AH9,a2,0.10000289256034496,0.33,spkr
S0017,MMT-AH11,a2,0.22976260412633565,0.29,spkr
S0017,MMT-AH12,a2,0.11252892525590141,0.29,spkr
S0017,PMT-PH5,a2,0.21656848185133035,0.29,spkr
S0017,PMT-PH7,a2,0.20489869190108342,0.27,spkr
S0017,PMT-PH8,a2,0.294568323714581,0.27,spkr
S0017,PMT-PH9,a2,0.3014707060647197,0.24,spkr
S0017,PMT-PH10,a2,0.4239299613594388,0.23,spkr
